category,Average RTTVar,Minimum RTTVar,Maximum RTTVar,Median RTTVar
1 Jan 2022,6506.5714,1877.1429,20122.7619,7197.1905
2 Jan 2022,5469.1905,1598.9048,18489.6667,7433.5238
3 Jan 2022,5329.6923,762.8846,25725.3077,16308.6538
4 Jan 2022,4212.8571,748.5714,17199.9524,3069.0476
5 Jan 2022,3615.2262,726.3571,15255.8452,2819.9643
6 Jan 2022,5454.3467,992.4133,21080.3067,4313.04
7 Jan 2022,5267.8966,647.7931,17867.4483,5654.7931
8 Jan 2022,4664,1433.1304,13188.8261,4746.4783
9 Jan 2022,9634.25,1970,29084.5,10960.1786
10 Jan 2022,7385.15,1701.625,25616.825,6161.825
11 Jan 2022,5141.8286,1403,16241.7714,4303.9143
12 Jan 2022,5587.2346,1101.5309,21244.6543,5807.3086
13 Jan 2022,11922.6522,3558.6522,38584.4348,9030.9565
14 Jan 2022,10794.4091,2599.2727,29644.3182,11234.9545
15 Jan 2022,14190.1333,4006.2667,32602.1333,9203.6667
16 Jan 2022,0,0,0,0
17 Jan 2022,0,0,0,0
18 Jan 2022,9368.8158,1949.1842,29966.8421,10264.3421
19 Jan 2022,7554.814,1746.4186,24534.4186,7751.814
20 Jan 2022,4918.6429,1250,17868.6429,4450.0714
21 Jan 2022,6757.7222,1456.8889,22295.5556,7983.0556
22 Jan 2022,5257.5455,1203.1212,19581.1364,5308.197
23 Jan 2022,6615.2826,1782.9348,22430.3696,5760.1522
24 Jan 2022,7542.94,1808.46,24353.3,7930.2
25 Jan 2022,16846.1515,4085,41627.9697,18674.7879
26 Jan 2022,13289.209,3210.2388,43307.8657,15460.403
27 Jan 2022,9639.3043,2382.3913,28449.3913,10213.9348
28 Jan 2022,7723.8,1313.25,35930.4,5614
29 Jan 2022,20228.186,3582.6047,62825.1163,13565.3023
30 Jan 2022,6442.2037,1662.9074,22268.8519,6037.5556
31 Jan 2022,5343.2,1301.5,14120.4,7243.2
