category,Average DeliveryRate,Minimum DeliveryRate,Maximum DeliveryRate,Median DeliveryRate
1 Jan 2022,131015,114063.7619,136964.4762,134161.1905
2 Jan 2022,144260.619,139167.4762,146676,144726.381
3 Jan 2022,816561.3077,678378.1154,845791.4615,814895.5769
4 Jan 2022,734123.2333,692302.2,749847.5833,737138.0167
5 Jan 2022,907248.7976,873688.881,917392.9762,910091.3452
6 Jan 2022,897173.1467,856523.2,913665.9067,898216.88
7 Jan 2022,1256097,1225166.1724,1269639.6897,1262523.2414
8 Jan 2022,537001.6087,490308.8696,576246.6957,528052.5652
9 Jan 2022,115734.75,113142.2857,118073.9643,116708.0357
10 Jan 2022,133088.25,125863.475,137630.975,133577.8
11 Jan 2022,525275.0286,440242.0857,543935.0286,537570.5714
12 Jan 2022,442780.6173,402994.9012,454382.5926,445165.9012
13 Jan 2022,366288.6957,356444.6087,371048.1739,367463.4348
14 Jan 2022,161303.7727,144380.4545,172203.9091,163688.9545
15 Jan 2022,141606.2273,132956.3182,145801.4545,142475.8182
16 Jan 2022,0,0,0,0
17 Jan 2022,0,0,0,0
18 Jan 2022,274090.4211,199574.8947,294912.3158,274370.1053
19 Jan 2022,192487.8837,148914.093,206151.4651,188037.7674
20 Jan 2022,112136,94744.8214,117107.6429,114284.4643
21 Jan 2022,78939.2778,50920.3333,94704.0556,82604.5556
22 Jan 2022,138483.4848,119359.6667,145022.5606,139510.2273
23 Jan 2022,132896.413,116628.7826,144370.1304,137019.4348
24 Jan 2022,198912.98,165760.76,209904.42,200980.72
25 Jan 2022,286926.1515,235613.3333,300493.0303,284102.2727
26 Jan 2022,184794.1642,145348.806,194799.2985,186490.0149
27 Jan 2022,331960.1702,298664.9149,344791.0213,331060.1915
28 Jan 2022,797548.35,795766.85,798267.65,798267.65
29 Jan 2022,130315.8333,113946.8571,135037.5476,132341.119
30 Jan 2022,156427.4815,132840.8333,163386.8519,158497.037
31 Jan 2022,794855.1,766838.3,803884.3,794455.4
