category,Average BytesRetrans,Minimum BytesRetrans,Maximum BytesRetrans,Median BytesRetrans
1 Jan 2022,29178.7143,2293.7143,57597.7143,26760
2 Jan 2022,27236.0952,0,71423.7143,28544
3 Jan 2022,679659.3077,17575.6538,1578521.8077,698594.8846
4 Jan 2022,587688.4127,8286.381,1270973.4286,620317.2381
5 Jan 2022,663580.3571,20470.869,1410321.6071,708558.9881
6 Jan 2022,590473.72,33004.76,1217250.5467,617270.8933
7 Jan 2022,811865.8621,61691.7241,1567850.3448,840145.3103
8 Jan 2022,309051.6957,6391.3043,636538.1739,325317.8261
9 Jan 2022,3862.6786,0,10082.7857,3727.2857
10 Jan 2022,21616.55,13.475,54235.925,19297.4
11 Jan 2022,515912.2857,194.6857,1159905.9429,556844.8286
12 Jan 2022,281965.716,1151.9259,683662.6914,276813.2716
13 Jan 2022,218097.7826,62.087,498938.9565,221863.3913
14 Jan 2022,29566.8636,0,81136.3636,29079.2727
15 Jan 2022,2036,0,5441.2,1962.4
16 Jan 2022,0,0,0,0
17 Jan 2022,0,0,0,0
18 Jan 2022,287936.3421,2278.9211,666236.3947,283093.5263
19 Jan 2022,84545.5814,0,211018.3256,81900.2093
20 Jan 2022,238884.4643,0,547542.5,304395.6786
21 Jan 2022,355299.7222,0,713362.2222,477295.0556
22 Jan 2022,51217.5303,89.2879,138308.7424,43118.1515
23 Jan 2022,54922.7391,270.5,170755.9783,38944.6739
24 Jan 2022,83250.84,110.76,224767.6,73327.08
25 Jan 2022,47592.9091,428.7879,122454.8485,39119.6364
26 Jan 2022,44367.6866,791.5522,118542.806,38314.5821
27 Jan 2022,52205.8913,217.3913,158331.8261,29876.6957
28 Jan 2022,251269.25,44397.75,609627.05,232478.45
29 Jan 2022,15801.907,62.2326,56945.3953,5260.0465
30 Jan 2022,2474.7778,24.7778,6937.7778,2428.2222
31 Jan 2022,319105.4,4200,608596,350199.4
