category,Average SegsIn,Minimum SegsIn,Maximum SegsIn,Median SegsIn
1 Jan 2022,1633.4286,123.3333,3633.3333,1555.5714
2 Jan 2022,1921.4762,75.9524,4391.381,1858.381
3 Jan 2022,3260.7692,235.1923,6810.1154,3408.4615
4 Jan 2022,3647.254,282.9524,7521.0159,3707.4603
5 Jan 2022,4217.4643,428.5238,8485.0476,4353.1667
6 Jan 2022,3770.32,471.0667,7505.4933,3856.4933
7 Jan 2022,5277.5517,815.6897,9809.8621,5420.3103
8 Jan 2022,2907.087,176.7826,6086.4783,2891.4348
9 Jan 2022,1378.5,80.9643,3064.7857,1348.5357
10 Jan 2022,1610.025,99.1,3598.7,1550.725
11 Jan 2022,3146.7429,102.4857,7052.2286,3227.2571
12 Jan 2022,2721.7407,158.4815,6008.3704,2724.3086
13 Jan 2022,1824.5652,104.3913,3939.8261,1796.7826
14 Jan 2022,1475.7727,103.6818,3052.9545,1547.8636
15 Jan 2022,1048.4,129.0667,2242.1333,1075.2667
16 Jan 2022,0,0,0,0
17 Jan 2022,0,0,0,0
18 Jan 2022,2473.2895,117,5225.6579,2514.1579
19 Jan 2022,1923.7442,97.5581,4099.814,1925.4419
20 Jan 2022,2167.6071,112.1429,4778.9643,2172.1429
21 Jan 2022,1797,64.5,4080.2778,1805.9444
22 Jan 2022,2468.7576,158.4848,5391.0303,2420.803
23 Jan 2022,1844.087,92.5217,4180.087,1728.7391
24 Jan 2022,1869.92,114.66,4156.76,1778.34
25 Jan 2022,1330.6061,72.4242,2894.3333,1336.0303
26 Jan 2022,987.4328,73.194,2219.2239,951
27 Jan 2022,1541.6957,96.1957,3399.2826,1497.2391
28 Jan 2022,3533.9,380.65,7381.55,3638.3
29 Jan 2022,626.4419,58.5349,1392.9767,601.2093
30 Jan 2022,1667.6667,124.9444,3723.9444,1612.6667
31 Jan 2022,3302.8,350.4,6605.7,3377.2
