category,Average Delivered,Minimum Delivered,Maximum Delivered,Median Delivered
1 Jan 2022,3519.2381,176.8571,8219.9048,3299.9048
2 Jan 2022,4505.8095,99.619,10511.5238,4353.381
3 Jan 2022,6353.8462,401.3846,12939.1538,6757.1154
4 Jan 2022,7140.3175,549.1905,14266.2381,7249.381
5 Jan 2022,7958.119,807.4881,15558.7619,8259.119
6 Jan 2022,6814.12,810.88,13378.9733,7034.8667
7 Jan 2022,8778.0345,1321.6552,16177.5172,9002.2759
8 Jan 2022,5381,314.7826,11241.2609,5361.3478
9 Jan 2022,2936.9643,105.2143,6863.6786,2827.0357
10 Jan 2022,3520.625,128.7,7996.9,3398.925
11 Jan 2022,7239.8857,325.6,14946.5429,7507.3714
12 Jan 2022,6441.5185,366.6296,13726.2346,6506.9136
13 Jan 2022,4064.7391,243.1739,8388.8261,4042.6522
14 Jan 2022,3380.0909,156.6818,7212.3182,3558.6364
15 Jan 2022,2264.8,192.5333,5063.6,2294.9333
16 Jan 2022,0,0,0,0
17 Jan 2022,0,0,0,0
18 Jan 2022,6281.4474,240.3947,13337.0789,6347.6579
19 Jan 2022,4989.5814,169.6047,10845.7209,4986.3953
20 Jan 2022,5438.0357,209.0714,12161.8571,5374.2857
21 Jan 2022,3857.6667,85.0556,8775.2778,3849.4444
22 Jan 2022,6481.5455,252.5455,14215.4545,6438.6818
23 Jan 2022,4671.6739,144.3261,10765.413,4374
24 Jan 2022,4729.26,217.7,10528.06,4515.2
25 Jan 2022,3319.697,128.5152,7351.8182,3373.9091
26 Jan 2022,2316.7761,120.2687,5290.9104,2254.8955
27 Jan 2022,3773,159.6739,8265.3913,3741.4783
28 Jan 2022,7057.85,610.9,14851.25,7208.5
29 Jan 2022,1213.9535,70.7674,2863.6977,1136.3488
30 Jan 2022,3889.6852,205.1296,8899.0741,3749.0185
31 Jan 2022,6862.8,602.6,13787.1,7101.8
