category,Average TotalRetrans,Minimum TotalRetrans,Maximum TotalRetrans,Median TotalRetrans
1 Jan 2022,1.5238,0.0476,2.0952,1.6667
2 Jan 2022,0.9048,0,1.1905,1
3 Jan 2022,1.3846,0.0769,2.9615,1.3462
4 Jan 2022,1.3,0.0167,2.3833,1.3833
5 Jan 2022,0.8214,0.0119,1.6071,0.8571
6 Jan 2022,1.6933,0.0267,2.6667,1.7867
7 Jan 2022,0.8966,0.0345,1.4138,0.8621
8 Jan 2022,0.7391,0,0.8696,0.7391
9 Jan 2022,1.7143,0,1.8929,1.8214
10 Jan 2022,1.05,0.025,1.25,1.125
11 Jan 2022,1.1143,0,1.8,1.1429
12 Jan 2022,1.7037,0.0247,2.8642,1.9136
13 Jan 2022,0.9565,0.2174,1.6087,0.9565
14 Jan 2022,1.7273,0.0455,2.2727,1.9091
15 Jan 2022,0.3636,0,0.5455,0.3636
16 Jan 2022,0,0,0,0
17 Jan 2022,0,0,0,0
18 Jan 2022,1.2895,0.1053,2.3947,1.3947
19 Jan 2022,1.4884,0.0233,2.3256,1.4884
20 Jan 2022,1.1786,0.1429,1.9643,1.2143
21 Jan 2022,1.1667,0.0556,1.7778,1.2778
22 Jan 2022,1.1212,0.0303,2.0455,1.1515
23 Jan 2022,1.1087,0.0435,1.6087,1.1304
24 Jan 2022,3.88,0.06,6.94,4.1
25 Jan 2022,1.5152,0.0909,2.5758,1.6667
26 Jan 2022,1.8955,0.0299,3.2388,2.1194
27 Jan 2022,1.0638,0,2,1.1064
28 Jan 2022,0.9,0.05,1.5,0.85
29 Jan 2022,1.4286,0,2.119,1.5
30 Jan 2022,2.6111,0,4.0556,3.037
31 Jan 2022,1,0,1.9,1.1
