category,Average TotalRetrans,Minimum TotalRetrans,Maximum TotalRetrans,Median TotalRetrans
1 Jan 2022,21.8095,1.7143,43.0476,20.0476
2 Jan 2022,20.3333,0,53.381,21.3333
3 Jan 2022,485.5385,12.6154,1127.5769,499.1923
4 Jan 2022,420.4603,6.1111,909.2381,443.6984
5 Jan 2022,474.0952,14.631,1007.8095,506.2976
6 Jan 2022,422.2,23.6533,870.3067,441.4133
7 Jan 2022,579.8621,44.0345,1119.7931,600.1724
8 Jan 2022,220.7826,4.5652,454.8261,232.5217
9 Jan 2022,2.7857,0,7.5357,2.7857
10 Jan 2022,16.2,0.025,40.55,14.475
11 Jan 2022,369.6857,0.1429,831.6286,398.6571
12 Jan 2022,202.7037,0.8765,491.9753,198.8642
13 Jan 2022,155.7826,0.1304,356.2174,158.4783
14 Jan 2022,21.8182,0,60.2273,21.4091
15 Jan 2022,1.5333,0,4.0667,1.4667
16 Jan 2022,0,0,0,0
17 Jan 2022,0,0,0,0
18 Jan 2022,207.5263,1.7105,479.9211,204.2368
19 Jan 2022,62.6977,0,155.9767,61.0233
20 Jan 2022,170.2857,0,391.6071,216.1071
21 Jan 2022,249.0556,0,500,334.6111
22 Jan 2022,38.2576,0.0758,103.3788,32.2424
23 Jan 2022,40.3478,0.2174,125.4348,28.6739
24 Jan 2022,61.64,0.08,165.96,54.36
25 Jan 2022,34.4848,0.3939,88.6364,28.4242
26 Jan 2022,32.1194,0.6119,85.9254,27.7463
27 Jan 2022,37.3478,0.2174,113.2609,21.4783
28 Jan 2022,179.5,31.75,435.7,166.1
29 Jan 2022,11.1628,0.0465,40.186,3.8605
30 Jan 2022,1.8333,0.0185,5.1852,1.8333
31 Jan 2022,227.9,3,434.8,250.2
