category,Average NotsentBytes,Minimum NotsentBytes,Maximum NotsentBytes,Median NotsentBytes
1 Jan 2022,649933.2857,252627.1429,944500.5714,684864.8571
2 Jan 2022,640561.7143,211212.8571,883080,687668.2857
3 Jan 2022,2558428.6923,911453.8462,3216176.9231,2829992.3077
4 Jan 2022,2177593.254,893155.6508,2681642,2365172.5079
5 Jan 2022,2093351.9048,991114.7024,2536396.0476,2279174.619
6 Jan 2022,1741167.1867,854488.64,2160148.6933,1859553.9733
7 Jan 2022,1881776.7586,1134616,2246758.6207,1954380.2069
8 Jan 2022,1100744.8261,530849.7391,1386993.6522,1105577.913
9 Jan 2022,607310.3929,195395.7857,857323.5,662596.7143
10 Jan 2022,637021.65,215002.05,880169.85,684169.575
11 Jan 2022,2034032.2857,687838.1714,2542966.4,2228624.8
12 Jan 2022,1675810.4691,606565.9259,2151974.1235,1846023.3457
13 Jan 2022,1634233.6522,597346.7826,2014603.3043,1790377.1304
14 Jan 2022,944268.3182,436689,1205320.0909,1045607.4545
15 Jan 2022,338957.3333,165287.6,457239.2,336328.6
16 Jan 2022,0,0,0,0
17 Jan 2022,0,0,0,0
18 Jan 2022,1468838.0789,478866.9474,1911046.0526,1628535.4211
19 Jan 2022,988192.4884,307033.2093,1339454,1081466.7907
20 Jan 2022,1524918.3571,329595.8571,2240470.7143,1794282.7143
21 Jan 2022,2144848.6667,246273.6667,3085597.5556,2641579
22 Jan 2022,994871.2121,366091.2727,1366787.2727,1062846.3636
23 Jan 2022,877156.7609,255850.7826,1259750.1957,952860.5
24 Jan 2022,1091957.56,363036.04,1491865.88,1219207.68
25 Jan 2022,1109799.4848,266958.7879,1488085.2121,1289759.3636
26 Jan 2022,542733.8209,207372.7463,748807.9104,574459.7015
27 Jan 2022,1065029.3043,364171.3478,1436059.5217,1154864.8261
28 Jan 2022,2110395.95,751699.8,2791751.5,2305163.9
29 Jan 2022,436613.3488,131926.8837,659773.1163,485266.6279
30 Jan 2022,623845.9259,260018,858252.6667,663239.1667
31 Jan 2022,1618342.4,850723.2,2151756.8,1750057.8
