category,Average AdvMSS,Minimum AdvMSS,Maximum AdvMSS,Median AdvMSS
1 Jan 2022,1448,1448,1448,1448
2 Jan 2022,1448,1448,1448,1448
3 Jan 2022,1448,1448,1448,1448
4 Jan 2022,1448,1448,1448,1448
5 Jan 2022,1448,1448,1448,1448
6 Jan 2022,1448,1448,1448,1448
7 Jan 2022,1448,1448,1448,1448
8 Jan 2022,1448,1448,1448,1448
9 Jan 2022,1448,1448,1448,1448
10 Jan 2022,1448,1448,1448,1448
11 Jan 2022,1448,1448,1448,1448
12 Jan 2022,1448,1448,1448,1448
13 Jan 2022,1448,1448,1448,1448
14 Jan 2022,1448,1448,1448,1448
15 Jan 2022,1448,1448,1448,1448
16 Jan 2022,0,0,0,0
17 Jan 2022,0,0,0,0
18 Jan 2022,1448,1448,1448,1448
19 Jan 2022,1448,1448,1448,1448
20 Jan 2022,1448,1448,1448,1448
21 Jan 2022,1448,1448,1448,1448
22 Jan 2022,1448,1448,1448,1448
23 Jan 2022,1448,1448,1448,1448
24 Jan 2022,1448,1448,1448,1448
25 Jan 2022,1448,1448,1448,1448
26 Jan 2022,1448,1448,1448,1448
27 Jan 2022,1448,1448,1448,1448
28 Jan 2022,1448,1448,1448,1448
29 Jan 2022,1448,1448,1448,1448
30 Jan 2022,1448,1448,1448,1448
31 Jan 2022,1448,1448,1448,1448
