category,Maximum Download Bandwidth,Minimum Download Bandwidth,Maximum Upload Bandwidth,Minimum Upload Bandwidth
1 Jan 2022,14.853705524,6.8472201904,1.0953653336,0.9926761904
2 Jan 2022,17.092688761599998,6.889692952,1.1731112384,1.1130163808
3 Jan 2022,47.3994067696,11.5324818464,6.7660178464000005,5.4267141536
4 Jan 2022,45.1848829208,13.707085587200002,5.998428533599999,5.7799205335999995
5 Jan 2022,50.278952,14.2124002856,7.3388338096000005,7.0819067616
6 Jan 2022,48.90946304,12.61815232,7.30905088,6.9740058664
7 Jan 2022,69.1803630344,16.264721655200002,10.1568132416,9.8010664824
8 Jan 2022,38.5074191304,9.8293725216,4.6095923480000005,4.5890650432
9 Jan 2022,14.905164856799999,4.9854134288,0.9442714288,0.9161991432000001
10 Jan 2022,16.1283944,6.6849972,1.1007356000000001,1.0398698
11 Jan 2022,40.4431984,12.3336176,4.3511435432,3.5216322288
12 Jan 2022,32.4125285928,11.8880267656,3.6347311608000004,3.2269931848
13 Jan 2022,21.6576090432,7.6527558264,2.9680598264,2.9017217392
14 Jan 2022,15.3309894544,8.159175636,1.3773221816,1.2893934543999999
15 Jan 2022,9.6804506664,4.5556298663999995,1.1660716359999999,1.0653825456000001
16 Jan 2022,0,0,0,0
17 Jan 2022,0,0,0,0
18 Jan 2022,26.3608972632,10.2301513688,2.3590105263999996,1.7095067368
19 Jan 2022,20.2703789768,8.449335256,1.6488926512,1.2459581392
20 Jan 2022,20.342173428800002,10.086055143200001,0.9365385712000001,0.78851
21 Jan 2022,16.0847022224,4.1757608888,0.7572604448000001,0.5801657776
22 Jan 2022,25.167618303199998,10.7057913936,1.1600204848,1.0081454544000001
23 Jan 2022,20.1141387824,7.8079822608,1.1546619128,0.9608024344
24 Jan 2022,22.25505392,8.67299776,1.6788952,1.44527136
25 Jan 2022,16.0656528488,6.5323175760000005,2.4036201216000004,2.0610380608
26 Jan 2022,11.0712761792,4.7845004176,1.5580641192,1.2330470448
27 Jan 2022,17.5745306088,8.3067288696,2.7580093616,2.3925957448
28 Jan 2022,33.1189568,15.0780588,6.3858068,6.3679104
29 Jan 2022,6.2160692096,2.3813224184,1.0799834288,0.9229314288
30 Jan 2022,16.5190422224,7.4721934816,1.3067791112,1.1037740744
31 Jan 2022,50.0271904,13.24766,6.4307064,6.240644
