category,Average BytesSent,Minimum BytesSent,Maximum BytesSent,Median BytesSent
1 Jan 2022,30074.381,4755,55423.1429,30723
2 Jan 2022,29284.1429,4755,53869.0476,29859.3333
3 Jan 2022,29840.5,4776.3462,54966.4231,30266.0769
4 Jan 2022,29963,4760.8833,55239.2,30689.15
5 Jan 2022,29214.3214,4771.6667,53735.7381,29937.3214
6 Jan 2022,30414.08,4764.4133,56034.0667,31022.28
7 Jan 2022,29240.6207,4767.1724,53791.3793,29850.069
8 Jan 2022,28664.5652,4755,52615.8261,29114.8261
9 Jan 2022,30456.3571,4755,56103.2857,31124.1071
10 Jan 2022,30019.5,4768.475,55232.35,30803.85
11 Jan 2022,28924.7143,3922.8,54004.1143,29483.5143
12 Jan 2022,29717.4815,4768.3086,54688.1975,30248.284
13 Jan 2022,30207.913,4926,55358.3043,30726.9565
14 Jan 2022,29128.4091,4589.6818,53622.4545,29402.5455
15 Jan 2022,28976.3182,4565.1818,53408.0455,29663.4545
16 Jan 2022,0,0,0,0
17 Jan 2022,0,0,0,0
18 Jan 2022,28149.4737,4525.5526,51847.8158,28882.2368
19 Jan 2022,29427.2558,4769.5814,54133.8837,29890.2558
20 Jan 2022,28826.2143,4919.6786,52799.75,29398.3929
21 Jan 2022,30816.3333,4787.0556,56907.1111,31155.8889
22 Jan 2022,30438.6667,4773.3939,56176.3333,31070.1364
23 Jan 2022,28924.5,4776.4783,52900.3478,29549.7609
24 Jan 2022,29197.62,4802.92,53590.24,29865.94
25 Jan 2022,29385.5455,4784.1515,54021.0606,29867.7879
26 Jan 2022,29639.3582,4782.2687,54575.9403,30146.0746
27 Jan 2022,29537.7021,4757,54386.5745,30082.1064
28 Jan 2022,28728.65,4823.9,52693.05,29419.8
29 Jan 2022,29753.3333,4757,54780.2619,30309.9048
30 Jan 2022,29574.3889,4757,54488.8704,30180.9074
31 Jan 2022,30588.9,4757,56483.8,30928.2
