category,Average SndMSS,Minimum SndMSS,Maximum SndMSS,Median SndMSS
1 Jan 2022,1338,1338,1338,1338
2 Jan 2022,1338,1338,1338,1338
3 Jan 2022,1400,1400,1400,1400
4 Jan 2022,1381.3016,1381.3016,1381.3016,1381.3016
5 Jan 2022,1383.0238,1383.0238,1383.0238,1383.0238
6 Jan 2022,1380.9867,1380.9867,1380.9867,1380.9867
7 Jan 2022,1402.8966,1402.8966,1402.8966,1402.8966
8 Jan 2022,1356.8696,1356.8696,1356.8696,1356.8696
9 Jan 2022,1338,1338,1338,1338
10 Jan 2022,1338,1338,1338,1338
11 Jan 2022,1370.6857,1370.6857,1370.6857,1370.6857
12 Jan 2022,1361.7284,1361.7284,1361.7284,1361.7284
13 Jan 2022,1414.087,1414.087,1414.087,1414.087
14 Jan 2022,1387.0909,1387.0909,1387.0909,1387.0909
15 Jan 2022,1338,1338,1338,1338
16 Jan 2022,0,0,0,0
17 Jan 2022,0,0,0,0
18 Jan 2022,1372.5263,1372.5263,1372.5263,1372.5263
19 Jan 2022,1347.3023,1347.3023,1347.3023,1347.3023
20 Jan 2022,1370.1429,1370.1429,1370.1429,1370.1429
21 Jan 2022,1396.4444,1396.4444,1396.4444,1396.4444
22 Jan 2022,1338,1338,1338,1338
23 Jan 2022,1345.2174,1345.2174,1345.2174,1345.2174
24 Jan 2022,1345.44,1345.44,1345.44,1345.44
25 Jan 2022,1375.8788,1375.8788,1375.8788,1375.8788
26 Jan 2022,1344.4776,1344.4776,1344.4776,1344.4776
27 Jan 2022,1364.6957,1364.6957,1364.6957,1364.6957
28 Jan 2022,1387.6,1387.6,1387.6,1387.6
29 Jan 2022,1348.4651,1348.4651,1348.4651,1348.4651
30 Jan 2022,1338,1338,1338,1338
31 Jan 2022,1381.4,1381.4,1381.4,1381.4
