category,Average SegsIn,Minimum SegsIn,Maximum SegsIn,Median SegsIn
1 Jan 2022,736.9048,32.2381,1398.7619,749.1905
2 Jan 2022,973.7619,66.6667,1753.4762,1040.1905
3 Jan 2022,2465,433.6923,4206.5,2515.8462
4 Jan 2022,2095.0667,356.6667,3605.9,2153.3
5 Jan 2022,2352.3214,406.1071,4042.3333,2427.6905
6 Jan 2022,2221.4667,326.2933,3948.68,2260.4133
7 Jan 2022,3043.2069,466.2414,5252.5172,3144.7931
8 Jan 2022,1383.0435,258.7826,2445.6522,1390.6957
9 Jan 2022,532.6429,33.8571,942.9286,543.9286
10 Jan 2022,560,45.325,1041.225,560.875
11 Jan 2022,1835.5714,220.4286,3254.9143,1849.6
12 Jan 2022,1269.358,160.0123,2313.1358,1285.5926
13 Jan 2022,1289.5652,225.6522,2331.8696,1319.6087
14 Jan 2022,1851.6364,97.7273,3318.8636,1918.5455
15 Jan 2022,387.3636,49.5,678.1364,403.8636
16 Jan 2022,0,0,0,0
17 Jan 2022,0,0,0,0
18 Jan 2022,938.5526,100.2105,1592.6316,1002.5263
19 Jan 2022,416.7674,60.4651,739.6977,422.7442
20 Jan 2022,522.6071,22.1786,953.4286,540
21 Jan 2022,1208.8889,17.2222,2392.7778,1227.1667
22 Jan 2022,152.8636,21.5,264.2121,160.5909
23 Jan 2022,255.3261,21.7609,457.3913,280.7826
24 Jan 2022,817.86,93.98,1507.86,831.66
25 Jan 2022,1084.1212,67.6364,1947.2121,1109.0606
26 Jan 2022,738.3881,64.5075,1312.9254,773.7463
27 Jan 2022,1073.9787,81.8723,1954.5532,1118.9787
28 Jan 2022,2878.35,381.75,5049.4,2936.85
29 Jan 2022,1607.0476,79.0714,2874.5952,1694.0952
30 Jan 2022,1622.7222,79.463,3039.5741,1686.3519
31 Jan 2022,2434.9,146.8,4410.3,2441.7
