category,Average PMTU,Minimum PMTU,Maximum PMTU,Median PMTU
1 Sep 2021,0,0,0,0
2 Sep 2021,64076,64076,64076,64076
3 Sep 2021,64076,64076,64076,64076
4 Sep 2021,64076,64076,64076,64076
5 Sep 2021,64076,64076,64076,64076
6 Sep 2021,64076,64076,64076,64076
7 Sep 2021,64076,64076,64076,64076
8 Sep 2021,64076,64076,64076,64076
9 Sep 2021,64076,64076,64076,64076
10 Sep 2021,0,0,0,0
11 Sep 2021,0,0,0,0
12 Sep 2021,0,0,0,0
13 Sep 2021,64076,64076,64076,64076
14 Sep 2021,64076,64076,64076,64076
15 Sep 2021,64076,64076,64076,64076
16 Sep 2021,64076,64076,64076,64076
17 Sep 2021,64076,64076,64076,64076
18 Sep 2021,64076,64076,64076,64076
19 Sep 2021,64076,64076,64076,64076
20 Sep 2021,64076,64076,64076,64076
21 Sep 2021,64076,64076,64076,64076
22 Sep 2021,64076,64076,64076,64076
23 Sep 2021,64076,64076,64076,64076
24 Sep 2021,64076,64076,64076,64076
25 Sep 2021,64076,64076,64076,64076
26 Sep 2021,0,0,0,0
27 Sep 2021,64076,64076,64076,64076
28 Sep 2021,64076,64076,64076,64076
29 Sep 2021,64076,64076,64076,64076
30 Sep 2021,0,0,0,0
