category,Average Retrans,Minimum Retrans,Maximum Retrans,Median Retrans
1 Sep 2021,0,0,0,0
2 Sep 2021,0,0,0.1429,0
3 Sep 2021,0,0,0.2,0
4 Sep 2021,0,0,0.2,0
5 Sep 2021,0,0,0,0
6 Sep 2021,0,0,0.5143,0
7 Sep 2021,0,0,0.1429,0
8 Sep 2021,0,0,0,0
9 Sep 2021,0,0,0,0
10 Sep 2021,0,0,0,0
11 Sep 2021,0,0,0,0
12 Sep 2021,0,0,0,0
13 Sep 2021,0,0,0.2273,0
14 Sep 2021,0.0435,0,0.087,0.0435
15 Sep 2021,0,0,0.2917,0
16 Sep 2021,0,0,0.1667,0
17 Sep 2021,0,0,0.0417,0
18 Sep 2021,0,0,0,0
19 Sep 2021,0,0,0,0
20 Sep 2021,0,0,0,0
21 Sep 2021,0.0526,0,0.2105,0.0526
22 Sep 2021,0.3333,0,1.3333,1.3333
23 Sep 2021,0,0,0,0
24 Sep 2021,0,0,0,0
25 Sep 2021,0,0,0,0
26 Sep 2021,0,0,0,0
27 Sep 2021,0,0,0.1111,0
28 Sep 2021,0,0,0.2,0
29 Sep 2021,0,0,0.3333,0.0222
30 Sep 2021,0,0,0,0
