category,Average Unacked,Minimum Unacked,Maximum Unacked,Median Unacked
1 Sep 2021,0,0,0,0
2 Sep 2021,0,0,2.2857,0.4286
3 Sep 2021,0.3,0,3.1,0.4
4 Sep 2021,1.6,0,6.8,2.8
5 Sep 2021,0.5,0,4,1.25
6 Sep 2021,0.0286,0,2.1714,0.0571
7 Sep 2021,0.8571,0,5,0.7143
8 Sep 2021,1.3333,0,7.1667,1.5
9 Sep 2021,0.3333,0,3,1
10 Sep 2021,0,0,0,0
11 Sep 2021,0,0,0,0
12 Sep 2021,0,0,0,0
13 Sep 2021,0,0,1.9545,0.0455
14 Sep 2021,0.087,0,1.087,0.2174
15 Sep 2021,0.5833,0,2.625,0.6667
16 Sep 2021,0,0,0.4583,0
17 Sep 2021,0,0,0.375,0
18 Sep 2021,0,0,0.2083,0
19 Sep 2021,0,0,0.2,0
20 Sep 2021,0,0,0.5714,0
21 Sep 2021,0.4211,0,2.2105,0.4211
22 Sep 2021,1.6667,0,7.3333,2
23 Sep 2021,2,0,6,0
24 Sep 2021,0,0,0.8,0
25 Sep 2021,0,0,1,0
26 Sep 2021,0,0,0,0
27 Sep 2021,0,0,0.8889,0
28 Sep 2021,0.1,0,1.7,0.3
29 Sep 2021,0.0222,0,1.8,0.0889
30 Sep 2021,0,0,0,0
