category,Average Delivered,Minimum Delivered,Maximum Delivered,Median Delivered
1 Sep 2021,0,0,0,0
2 Sep 2021,46.7143,2.5714,89.4286,47.4286
3 Sep 2021,47.2,4.1,90.4,48.4
4 Sep 2021,43.8,4.4,80.2,45.4
5 Sep 2021,48.5,2.5,94.25,48.75
6 Sep 2021,49.1714,5.9143,92.7143,49.9429
7 Sep 2021,45.2857,2.4286,88.5714,46.2857
8 Sep 2021,46.1667,2.3333,89,46.6667
9 Sep 2021,46,2.3333,89,45.3333
10 Sep 2021,0,0,0,0
11 Sep 2021,0,0,0,0
12 Sep 2021,0,0,0,0
13 Sep 2021,49.5455,5.8636,92.8636,50.6364
14 Sep 2021,46.913,4.7826,87.6087,48.087
15 Sep 2021,46.625,5.4583,87.25,47.5417
16 Sep 2021,47.2083,6,88,48.0833
17 Sep 2021,49.75,6,93.2917,50.8333
18 Sep 2021,50.0833,6,93.9167,50.9167
19 Sep 2021,48.7,6,91.1,49.5
20 Sep 2021,50.8571,6,95.2857,51.7143
21 Sep 2021,47.6316,5.8421,88.3158,48.9474
22 Sep 2021,44,3.3333,84,43.6667
23 Sep 2021,53,6,100,58
24 Sep 2021,47.6,6,88.8,48.8
25 Sep 2021,47.6,6,89,48.8
26 Sep 2021,0,0,0,0
27 Sep 2021,48.5556,6,90.4444,49.4444
28 Sep 2021,47.25,5.7,88.8,47.9
29 Sep 2021,49.0889,5.9333,92.3111,50.1778
30 Sep 2021,0,0,0,0
