category,Average DataSegsOut,Minimum DataSegsOut,Maximum DataSegsOut,Median DataSegsOut
1 Sep 2021,0,0,0,0
2 Sep 2021,48.7143,1.8571,94.4286,49.1429
3 Sep 2021,48.5,3.2,93.7,49.9
4 Sep 2021,44.6,4,82,47.2
5 Sep 2021,47.75,1.75,93.5,49
6 Sep 2021,52.7143,5.3143,99.7714,53.4857
7 Sep 2021,45.2857,2,88.8571,46.4286
8 Sep 2021,46.5,1.5,92,47.8333
9 Sep 2021,45,2,89,45
10 Sep 2021,0,0,0,0
11 Sep 2021,0,0,0,0
12 Sep 2021,0,0,0,0
13 Sep 2021,50.8636,4.9545,96.3182,51.7727
14 Sep 2021,47.0435,3.8696,88.9565,48.4348
15 Sep 2021,47.9583,4.5,90.9167,48.8333
16 Sep 2021,46.8333,5.0417,88.4583,47.7083
17 Sep 2021,49.7083,5.25,94.2917,50.5833
18 Sep 2021,49.1667,5,93.3333,49.9583
19 Sep 2021,47.9,5,90.3,48.7
20 Sep 2021,50,5,94.7143,50.8571
21 Sep 2021,48.7368,5.1579,90.9474,50.2105
22 Sep 2021,46,3,88.3333,47
23 Sep 2021,54,5,100,56
24 Sep 2021,46.6,5,88.2,47.8
25 Sep 2021,47.1,5,89.2,48
26 Sep 2021,0,0,0,0
27 Sep 2021,49.8889,5.2222,94.4444,51.2222
28 Sep 2021,48.3,4.85,91.55,49.2
29 Sep 2021,51.8889,5.2,98.8667,53.1333
30 Sep 2021,0,0,0,0
