category,Average NotsentBytes,Minimum NotsentBytes,Maximum NotsentBytes,Median NotsentBytes
1 Sep 2021,0,0,0,0
2 Sep 2021,2574331.75,530863,3242575,2971150
3 Sep 2021,1438376.5,614838,1796746,1609868.4
4 Sep 2021,462132.6,219200,617596,545534
5 Sep 2021,423551.5,130150,620610,527107.5
6 Sep 2021,2506613.0882,942928.2941,3113373.0588,2772208.0588
7 Sep 2021,746469.5714,106657.7143,1259709.4286,890343.4286
8 Sep 2021,236239.6667,114566,320200.6667,273853.1667
9 Sep 2021,797760,98973.3333,1162456,897882
10 Sep 2021,0,0,0,0
11 Sep 2021,0,0,0,0
12 Sep 2021,0,0,0,0
13 Sep 2021,2754040.4545,1076545.8182,3301709.0909,2961890.9091
14 Sep 2021,2073448.9167,858537.75,2543161.6667,2269521.7917
15 Sep 2021,1769798.7917,837710.0833,2209077.75,1882064.5833
16 Sep 2021,1902654.5417,1318337.25,2162883.3333,1968545.8333
17 Sep 2021,1881733.25,1258308.3333,2179975,1919983.3333
18 Sep 2021,1578176.75,1215666.6667,1800050,1592120.8333
19 Sep 2021,1579278.5,1225207.8,1820700,1575980
20 Sep 2021,3130467,1558800,3644400,3241900
21 Sep 2021,2618857.2105,1290717.8947,3127612.6316,2819834.1053
22 Sep 2021,859393.6667,414245.3333,1173522.6667,809154.6667
23 Sep 2021,1796526,1056720,2114868,1767864
24 Sep 2021,3259133.8,1044400,3948000,3561320
25 Sep 2021,2887202.2,1148735.6,3415316.4,3163807.2
26 Sep 2021,0,0,0,0
27 Sep 2021,2814030.7778,1201027.5556,3354244.4444,3026233.2222
28 Sep 2021,2350855.3,1118062,2748374,2514571
29 Sep 2021,2645141.1364,1185520.7273,3142522.7273,2834856.8182
30 Sep 2021,0,0,0,0
