category,Average RcvMSS,Minimum RcvMSS,Maximum RcvMSS,Median RcvMSS
1 Sep 2021,0,0,0,0
2 Sep 2021,605.25,605.25,605.25,605.25
3 Sep 2021,577.4,577.4,577.4,577.4
4 Sep 2021,549.2,549.2,549.2,549.2
5 Sep 2021,562.25,562.25,562.25,562.25
6 Sep 2021,536.9706,536.9706,536.9706,536.9706
7 Sep 2021,569,569,569,569
8 Sep 2021,590.1667,590.1667,590.1667,590.1667
9 Sep 2021,574.6667,574.6667,574.6667,574.6667
10 Sep 2021,0,0,0,0
11 Sep 2021,0,0,0,0
12 Sep 2021,0,0,0,0
13 Sep 2021,540.6818,540.6818,540.6818,540.6818
14 Sep 2021,577.25,577.25,577.25,577.25
15 Sep 2021,555.25,555.25,555.25,555.25
16 Sep 2021,536,536,536,536
17 Sep 2021,536,536,536,536
18 Sep 2021,536,536,536,536
19 Sep 2021,536,536,536,536
20 Sep 2021,536,536,536,536
21 Sep 2021,542.8421,542.8421,542.8421,542.8421
22 Sep 2021,610,610,610,610
23 Sep 2021,536,536,536,536
24 Sep 2021,536,536,536,536
25 Sep 2021,536,536,536,536
26 Sep 2021,0,0,0,0
27 Sep 2021,536,536,536,536
28 Sep 2021,543.8,543.8,543.8,543.8
29 Sep 2021,538.3409,538.3409,538.3409,538.3409
30 Sep 2021,0,0,0,0
