category,Average RcvMSS,Minimum RcvMSS,Maximum RcvMSS,Median RcvMSS
1 Sep 2021,0,0,0,0
2 Sep 2021,1397.5714,1286.1429,1400,1400
3 Sep 2021,1413.3,1337.1,1416.8,1416.8
4 Sep 2021,1255.2,882,1370,1209.4
5 Sep 2021,1359.75,968.5,1370,1370
6 Sep 2021,1397,1348.8571,1398.2286,1398.2286
7 Sep 2021,1326.2857,897.4286,1338,1338
8 Sep 2021,1348.1667,976,1364.6667,1364.6667
9 Sep 2021,1326.3333,840.6667,1338,1338
10 Sep 2021,0,0,0,0
11 Sep 2021,0,0,0,0
12 Sep 2021,0,0,0,0
13 Sep 2021,1400,1399.4545,1400,1400
14 Sep 2021,1387.0435,1354.3478,1387.7391,1387.7391
15 Sep 2021,1388.1667,1331.5833,1389.6667,1389.6667
16 Sep 2021,1400,1400,1400,1400
17 Sep 2021,1400,1400,1400,1400
18 Sep 2021,1400,1400,1400,1400
19 Sep 2021,1400,1400,1400,1400
20 Sep 2021,1400,1400,1400,1400
21 Sep 2021,1362.4737,1319.0526,1364.3684,1364.3684
22 Sep 2021,1437,880.3333,1449.3333,1449.3333
23 Sep 2021,1428,1428,1428,1428
24 Sep 2021,1400,1400,1400,1400
25 Sep 2021,1393.8,1393.8,1393.8,1393.8
26 Sep 2021,0,0,0,0
27 Sep 2021,1400,1400,1400,1400
28 Sep 2021,1404.2,1366.8,1406,1406
29 Sep 2021,1399.5111,1380.8,1400,1400
30 Sep 2021,0,0,0,0
