category,Average RWndLimited,Minimum RWndLimited,Maximum RWndLimited,Median RWndLimited
1 Sep 2021,0,0,0,0
2 Sep 2021,55936.75,6500,61000,61000
3 Sep 2021,27610.4,16800,28800,28800
4 Sep 2021,0,0,0,0
5 Sep 2021,0,0,0,0
6 Sep 2021,42442.6765,22470.5882,44352.9412,44352.9412
7 Sep 2021,0,0,0,0
8 Sep 2021,0,0,0,0
9 Sep 2021,306024.6667,0,500000,324000
10 Sep 2021,0,0,0,0
11 Sep 2021,0,0,0,0
12 Sep 2021,0,0,0,0
13 Sep 2021,35328.5455,18181.8182,37090.9091,37090.9091
14 Sep 2021,15254.375,9000,19333.3333,14666.6667
15 Sep 2021,23451.375,7000,36166.6667,19333.3333
16 Sep 2021,13698.7917,9166.6667,14000,14000
17 Sep 2021,12117.125,8333.3333,12333.3333,12333.3333
18 Sep 2021,1833.3333,1833.3333,1833.3333,1833.3333
19 Sep 2021,1200,1200,1200,1200
20 Sep 2021,4571.4286,4571.4286,4571.4286,4571.4286
21 Sep 2021,17771.1053,13473.6842,22736.8421,16210.5263
22 Sep 2021,389970.6667,0,524000,474666.6667
23 Sep 2021,0,0,0,0
24 Sep 2021,1360,0,1600,1600
25 Sep 2021,631.6,0,800,800
26 Sep 2021,0,0,0,0
27 Sep 2021,29572.1111,20444.4444,30222.2222,30222.2222
28 Sep 2021,20522.8,14600,21800,21800
29 Sep 2021,54357.0455,29090.9091,56454.5455,56454.5455
30 Sep 2021,0,0,0,0
