category,Average BytesRetrans,Minimum BytesRetrans,Maximum BytesRetrans,Median BytesRetrans
1 Sep 2021,0,0,0,0
2 Sep 2021,1592086,15486.5,3095911.5,1774486.5
3 Sep 2021,584295.1,45916.1,1080480.9,626544.5
4 Sep 2021,1781,0,3014,2740
5 Sep 2021,19575.25,0,41785,20892.5
6 Sep 2021,1430398.0588,58241.5882,2878738.2353,1614435.2941
7 Sep 2021,2087.1429,0,4396.2857,2676
8 Sep 2021,2994.1667,30,10724.3333,253
9 Sep 2021,15999.6667,0,41606,14400
10 Sep 2021,0,0,0,0
11 Sep 2021,0,0,0,0
12 Sep 2021,0,0,0,0
13 Sep 2021,1532259,56444.0909,2954502.6364,1643116.2727
14 Sep 2021,858707.25,32523.0833,1717932.25,926173.8333
15 Sep 2021,1006941.5833,27684.1667,2047473.75,1047025.6667
16 Sep 2021,1402056.4167,118005.75,2629734.75,1467326.4167
17 Sep 2021,1294167.8333,87224.4167,2391830.75,1364522.4167
18 Sep 2021,1080127.4167,61716.6667,2074625,1130908.3333
19 Sep 2021,1091646.3,55720,2180220,1152760
20 Sep 2021,1064328,11726.8571,2189526.8571,1189526.8571
21 Sep 2021,1156811.2105,32562.1053,2246001.0526,1236287.3684
22 Sep 2021,11051.6667,9246.6667,13616,10944.6667
23 Sep 2021,966,966,966,966
24 Sep 2021,1002444.2,2520,2150120,1117760
25 Sep 2021,1003997.7,560,2148193,1068303.8
26 Sep 2021,0,0,0,0
27 Sep 2021,1693985.4444,87526.6667,3132060,1808515.5556
28 Sep 2021,1331038.25,129512.5,2453603.3,1413878.3
29 Sep 2021,1890399.3409,107205.5455,3517897,1995015.1818
30 Sep 2021,0,0,0,0
