category,Average ATO,Minimum ATO,Maximum ATO,Median ATO
1 Sep 2021,0,0,0,0
2 Sep 2021,40291,40000,49142.8571,40000
3 Sep 2021,46395.6,40000,93200,42000
4 Sep 2021,49733.6,40000,96000,48800
5 Sep 2021,40793,40000,60000,40000
6 Sep 2021,40611.9143,40000,54628.5714,40800
7 Sep 2021,61456.1429,40000,187428.5714,75142.8571
8 Sep 2021,40958,40000,54666.6667,43333.3333
9 Sep 2021,46335.3333,40000,85333.3333,46000
10 Sep 2021,0,0,0,0
11 Sep 2021,0,0,0,0
12 Sep 2021,0,0,0,0
13 Sep 2021,40760.8182,40000,54727.2727,41090.9091
14 Sep 2021,44106.2609,40000,63130.4348,46086.9565
15 Sep 2021,43105.2083,40000,73666.6667,45083.3333
16 Sep 2021,40202.6667,40000,45666.6667,40166.6667
17 Sep 2021,40219.3333,40000,47500,40000
18 Sep 2021,40092.4583,40000,43166.6667,40000
19 Sep 2021,40210.1,40000,48400,40400
20 Sep 2021,40272.1429,40000,45714.2857,40000
21 Sep 2021,40517.2105,40000,50736.8421,40842.1053
22 Sep 2021,40912.3333,40000,52000,45333.3333
23 Sep 2021,40000,40000,40000,40000
24 Sep 2021,40020,40000,40800,40000
25 Sep 2021,40470.8,40000,45200,40000
26 Sep 2021,0,0,0,0
27 Sep 2021,40112,40000,44000,40000
28 Sep 2021,40408,40000,50000,40600
29 Sep 2021,40143.2222,40000,44977.7778,40044.4444
30 Sep 2021,0,0,0,0
