category,Average Retrans,Minimum Retrans,Maximum Retrans,Median Retrans
1 Sep 2021,0,0,0,0
2 Sep 2021,4.625,0,21.875,3.5
3 Sep 2021,1.9,0,8.8,3.9
4 Sep 2021,0,0,0.6,0
5 Sep 2021,1.5,0,5,2.5
6 Sep 2021,4.1176,0.0294,17.5294,3.6765
7 Sep 2021,0,0,0.7143,0.1429
8 Sep 2021,0.1667,0,2,0
9 Sep 2021,0.3333,0,4,0
10 Sep 2021,0,0,0,0
11 Sep 2021,0,0,0,0
12 Sep 2021,0,0,0,0
13 Sep 2021,3.4091,0,16.6818,2.2273
14 Sep 2021,1.5,0,8.7083,1.3333
15 Sep 2021,2.375,0,13.1667,1.3333
16 Sep 2021,1.5833,0.0417,10.2083,0.8333
17 Sep 2021,1.7083,0,13.375,1.5833
18 Sep 2021,0.7083,0,6.1667,1.2083
19 Sep 2021,0.8,0,3.2,1.4
20 Sep 2021,2,0,15.2857,2.4286
21 Sep 2021,2.9474,0,16.6842,1.2632
22 Sep 2021,0,0,0.3333,0
23 Sep 2021,0,0,0,0
24 Sep 2021,1.2,0,12.8,0.8
25 Sep 2021,0.9,0,5,1.4
26 Sep 2021,0,0,0,0
27 Sep 2021,3.4444,0,24.3333,2
28 Sep 2021,2.2,0,11.15,1.6
29 Sep 2021,3.8409,0,18.8864,2.5227
30 Sep 2021,0,0,0,0
