category,Average SegsOut,Minimum SegsOut,Maximum SegsOut,Median SegsOut
1 Sep 2021,0,0,0,0
2 Sep 2021,8965.25,188.875,17716.5,9690.75
3 Sep 2021,3909.4,351.7,7422.6,4197.6
4 Sep 2021,1373,133.8,2810.6,1418
5 Sep 2021,991.5,99.25,2057.5,1053.25
6 Sep 2021,9011,600.3529,17663.7353,9730.4118
7 Sep 2021,2438.2857,48.7143,6014.2857,2454.8571
8 Sep 2021,524.8333,71.1667,1096.8333,505.1667
9 Sep 2021,4278.3333,43.3333,8641,4692.6667
10 Sep 2021,0,0,0,0
11 Sep 2021,0,0,0,0
12 Sep 2021,0,0,0,0
13 Sep 2021,10309.6364,780.2727,19663.8182,10805.7727
14 Sep 2021,8488.1667,515.9583,17139.5,8882.6667
15 Sep 2021,7230.75,528,14134.0833,7431.2917
16 Sep 2021,11234.7917,1629.4583,20690.5,11612.625
17 Sep 2021,10817.375,1301.4583,19734.625,11315.2917
18 Sep 2021,11140.0833,1461.875,20486,11486.375
19 Sep 2021,11661.6,1813,21147.9,12373.4
20 Sep 2021,11070,1314.2857,20674,11696.2857
21 Sep 2021,9265.5263,956.6316,17565.8947,9517.1053
22 Sep 2021,1451,165.3333,3222,1341.3333
23 Sep 2021,3327,219,6783,3147
24 Sep 2021,10835,747.8,20829,11675.2
25 Sep 2021,9006.4,618.8,17633.4,9422.6
26 Sep 2021,0,0,0,0
27 Sep 2021,10765,1066.2222,20071.4444,11299
28 Sep 2021,9523.65,964.6,17608.4,10073.8
29 Sep 2021,10609.0455,841.0227,19873.1818,11090.0227
30 Sep 2021,0,0,0,0
