category,Average SndMSS,Minimum SndMSS,Maximum SndMSS,Median SndMSS
1 Sep 2021,0,0,0,0
2 Sep 2021,1400,1400,1400,1400
3 Sep 2021,1416.8,1416.8,1416.8,1416.8
4 Sep 2021,1370,1370,1370,1370
5 Sep 2021,1370,1370,1370,1370
6 Sep 2021,1398.2286,1398.2286,1398.2286,1398.2286
7 Sep 2021,1338,1338,1338,1338
8 Sep 2021,1364.6667,1364.6667,1364.6667,1364.6667
9 Sep 2021,1338,1338,1338,1338
10 Sep 2021,0,0,0,0
11 Sep 2021,0,0,0,0
12 Sep 2021,0,0,0,0
13 Sep 2021,1400,1400,1400,1400
14 Sep 2021,1387.7391,1387.7391,1387.7391,1387.7391
15 Sep 2021,1389.6667,1389.6667,1389.6667,1389.6667
16 Sep 2021,1400,1400,1400,1400
17 Sep 2021,1400,1400,1400,1400
18 Sep 2021,1400,1400,1400,1400
19 Sep 2021,1400,1400,1400,1400
20 Sep 2021,1400,1400,1400,1400
21 Sep 2021,1406.3158,1406.3158,1406.3158,1406.3158
22 Sep 2021,1449.3333,1449.3333,1449.3333,1449.3333
23 Sep 2021,1428,1428,1428,1428
24 Sep 2021,1400,1400,1400,1400
25 Sep 2021,1393.8,1393.8,1393.8,1393.8
26 Sep 2021,0,0,0,0
27 Sep 2021,1400,1400,1400,1400
28 Sep 2021,1406,1406,1406,1406
29 Sep 2021,1400,1400,1400,1400
30 Sep 2021,0,0,0,0
