category,Average RTTVar,Minimum RTTVar,Maximum RTTVar,Median RTTVar
1 Sep 2021,0,0,0,0
2 Sep 2021,1050.75,202.125,4868.25,1183.5
3 Sep 2021,30527.5,4802.6,79644.8,22323.8
4 Sep 2021,29717.8,4778,89657.6,29317.4
5 Sep 2021,32023.5,4107,95051.75,25947.25
6 Sep 2021,2150.1471,386.8824,9961.8235,1538.9118
7 Sep 2021,14103.4286,2915.8571,59065.1429,6897.5714
8 Sep 2021,56456,25575.6667,108631.8333,54600
9 Sep 2021,13817.6667,2198,56608.3333,18117
10 Sep 2021,0,0,0,0
11 Sep 2021,0,0,0,0
12 Sep 2021,0,0,0,0
13 Sep 2021,1177.6818,231.5455,4610.9091,1044.1364
14 Sep 2021,3904.5,645.9167,18092.4583,7299.7083
15 Sep 2021,4993.125,1071.5,21340.7917,4147.4167
16 Sep 2021,299.7917,86.25,886,268.3333
17 Sep 2021,288.125,84.9167,869.875,255.0833
18 Sep 2021,268.5,52.9583,1149.375,243.4583
19 Sep 2021,218.1,44.2,693.1,187.5
20 Sep 2021,1435.8571,287.8571,9069.4286,429.5714
21 Sep 2021,5791.6842,1480.6316,14948.3684,3277.8947
22 Sep 2021,19112,4119.6667,53361.3333,24085.3333
23 Sep 2021,10322,1635,22764,2379
24 Sep 2021,1133,143,6252.2,269
25 Sep 2021,2465.9,742.3,11921.4,1652.4
26 Sep 2021,0,0,0,0
27 Sep 2021,945.2222,251.2222,3202.8889,747.3333
28 Sep 2021,3857.4,1018.55,11044.4,2636.6
29 Sep 2021,1065.2955,200.0909,6207.7727,746.4545
30 Sep 2021,0,0,0,0
