category,Average DataSegsIn,Minimum DataSegsIn,Maximum DataSegsIn,Median DataSegsIn
1 Sep 2021,0,0,0,0
2 Sep 2021,3282.1429,348.8571,5671.5714,3291
3 Sep 2021,1074.6,198.8,1939,1081.2
4 Sep 2021,125.4,8.8,216.6,127.4
5 Sep 2021,1596.75,10.5,3184.25,1682.5
6 Sep 2021,2846.6286,300.7429,5050.2857,2872.0571
7 Sep 2021,132.2857,17.5714,218.4286,135
8 Sep 2021,822.1667,10.3333,1640.5,813
9 Sep 2021,122.6667,8,192.6667,127.6667
10 Sep 2021,0,0,0,0
11 Sep 2021,0,0,0,0
12 Sep 2021,0,0,0,0
13 Sep 2021,2429.1818,293.2273,4336.5,2535
14 Sep 2021,2474.913,340.3913,4321.0435,2557.4348
15 Sep 2021,2321.8333,338.5,3925.7917,2439.4583
16 Sep 2021,3279.625,470.7083,5757.6667,3359.3333
17 Sep 2021,3268.5,355.8333,5748.1667,3355.0833
18 Sep 2021,3432.9167,642.25,5881.1667,3489.75
19 Sep 2021,3329.9,473.5,5891.1,3364.5
20 Sep 2021,3345.4286,559.5714,5799,3466.2857
21 Sep 2021,2654.8421,351.5263,4624.2105,2736.5263
22 Sep 2021,81,7,140.3333,84.3333
23 Sep 2021,815,6,1534,966
24 Sep 2021,3515.4,469.4,5901.4,3688
25 Sep 2021,2986,549.1,5329.6,3044.2
26 Sep 2021,0,0,0,0
27 Sep 2021,3358.2222,459,5820.2222,3391.7778
28 Sep 2021,2931.25,499.05,5119.5,2929
29 Sep 2021,3329.8,366.9333,5822.8,3364.4667
30 Sep 2021,0,0,0,0
