category,Average NotsentBytes,Minimum NotsentBytes,Maximum NotsentBytes,Median NotsentBytes
1 Mar 2022,2087297.9452,644422.1918,2715054.6027,2331240.9315
2 Mar 2022,3056224.1765,1310598.5882,3761381.4118,3426867.7647
3 Mar 2022,0,0,0,0
4 Mar 2022,1018500.3704,294057.3333,1446805.6667,1231203.6852
5 Mar 2022,834251.9286,196654.1429,1190501.8571,989473.2857
6 Mar 2022,571415.2388,154641.2537,799279.1343,678672.2836
7 Mar 2022,2728998.36,610551.28,3662047.8,3194272.08
8 Mar 2022,2595829.2273,566985.2273,3601987.2273,2999126.25
9 Mar 2022,1983431.2131,456683.6066,2784850.7213,2302559.7541
10 Mar 2022,1448586.3714,628895.4857,1795011.8857,1560115.1714
11 Mar 2022,0,0,0,0
12 Mar 2022,0,0,0,0
13 Mar 2022,975154.5,125510.5,1754273.5,1308688
14 Mar 2022,352147.75,172602,481011,407421
15 Mar 2022,0,0,0,0
16 Mar 2022,0,0,0,0
17 Mar 2022,1894306.7714,615377.6571,2413203.0857,2058048.1429
18 Mar 2022,1830620.1053,620083.1053,2238983.0526,1992021.6053
19 Mar 2022,1139782.2424,446776.6061,1368607.5152,1255701.7879
20 Mar 2022,458778,86970,923220,608790
21 Mar 2022,2939594,995206.8966,3718737.931,3293572.4138
22 Mar 2022,3374462.1538,1401632.6154,4031937.5385,3708914.4615
23 Mar 2022,2337014.8,769707,2957163.7,2558343.85
24 Mar 2022,2006741.25,779232.2273,2516524.9091,2179460.6136
25 Mar 2022,1211573.8679,412041.1698,1616992.0755,1293671.3208
26 Mar 2022,476480.3704,142620.8889,681686.2222,503657.8889
27 Mar 2022,0,0,0,0
28 Mar 2022,0,0,0,0
29 Mar 2022,0,0,0,0
30 Mar 2022,0,0,0,0
31 Mar 2022,2245964.7917,924812.2083,2736476.1667,2474294.4583
