category,Average SegsIn,Minimum SegsIn,Maximum SegsIn,Median SegsIn
1 Mar 2022,1795.6111,293.0417,3161.4583,1835.0556
2 Mar 2022,2807.3333,395.5556,4902.8333,2873.3333
3 Mar 2022,0,0,0,0
4 Mar 2022,647.3393,99.3393,1146.5714,670.1429
5 Mar 2022,721.225,60.875,1182,766.1
6 Mar 2022,419.1343,49.7015,729.2239,445
7 Mar 2022,1559.1961,267.7843,2746.4118,1622.7451
8 Mar 2022,1369.0233,213.3023,2336,1420.1628
9 Mar 2022,1618.5833,254.4167,2686.3833,1689.3833
10 Mar 2022,1900.9722,374.6944,3339.7222,1933.3333
11 Mar 2022,0,0,0,0
12 Mar 2022,0,0,0,0
13 Mar 2022,721.8333,20,1407.8333,792.8333
14 Mar 2022,144.3333,9,243,152
15 Mar 2022,0,0,0,0
16 Mar 2022,0,0,0,0
17 Mar 2022,1702.6857,241.2857,2971.2571,1730.9143
18 Mar 2022,1571.7949,264.9487,2752.6154,1638.3846
19 Mar 2022,1028.6364,174.6364,1724.1818,1063.697
20 Mar 2022,144.6667,27.6667,222.3333,154
21 Mar 2022,2384.2333,310.2667,4197.4667,2473.5333
22 Mar 2022,2926.8462,398.3077,5055.9231,3062.2308
23 Mar 2022,2291.5,255.75,4027.85,2399.35
24 Mar 2022,1574.1778,190,2855.3111,1576.0222
25 Mar 2022,2077.7636,210.8909,3775.1636,2143.9818
26 Mar 2022,273.9259,22.5185,520.5926,278.2963
27 Mar 2022,0,0,0,0
28 Mar 2022,0,0,0,0
29 Mar 2022,0,0,0,0
30 Mar 2022,0,0,0,0
31 Mar 2022,2068.9375,293.25,3658.8958,2091.25
