category,Average RTT,Minimum RTT,Maximum RTT,Median RTT
1 Mar 2022,75161.5417,54378.0417,114809.8889,74067.0139
2 Mar 2022,17618,11111.3333,32654.7778,18848.2222
3 Mar 2022,0,0,0,0
4 Mar 2022,140937.4464,103247.1607,235288.1964,135384.5714
5 Mar 2022,129047.375,99354.45,178360.425,126786.325
6 Mar 2022,160128.9403,117844.3582,217493.2836,160983.7015
7 Mar 2022,108228.549,84993.9216,151558.0588,102555.1373
8 Mar 2022,115108.9767,92124.3488,141855.1395,113568.1163
9 Mar 2022,106298.4333,83581.8,143490.7667,104457.8333
10 Mar 2022,107428.6944,83906.6944,139201.8889,110511.8333
11 Mar 2022,0,0,0,0
12 Mar 2022,0,0,0,0
13 Mar 2022,243291.75,189154.4167,313027.9167,268350.6667
14 Mar 2022,128507.3333,86455,193513.3333,168850.6667
15 Mar 2022,0,0,0,0
16 Mar 2022,0,0,0,0
17 Mar 2022,129925.4571,88984.8286,193999.8286,134508.6857
18 Mar 2022,117381.3077,82897.7692,182358.5897,115954.5641
19 Mar 2022,160396.2424,117677,238235.2727,155988.0303
20 Mar 2022,154412,124345.3333,186836.6667,156390.3333
21 Mar 2022,22310.1333,8529.4,49321.4,25409.8667
22 Mar 2022,29145.4615,22586.6923,48923.4615,26293.6923
23 Mar 2022,35089.15,20897.8,62339.95,31086.45
24 Mar 2022,38591.5778,21795,59389.0889,42410.6
25 Mar 2022,67260.1818,23652.7273,126216.9455,69410.7273
26 Mar 2022,105399.8889,43842.6296,185785.7778,104970.8148
27 Mar 2022,0,0,0,0
28 Mar 2022,0,0,0,0
29 Mar 2022,0,0,0,0
30 Mar 2022,0,0,0,0
31 Mar 2022,47292.8542,22440.9792,86218.2917,47049.8125
