category,Average TotalRetrans,Minimum TotalRetrans,Maximum TotalRetrans,Median TotalRetrans
1 Mar 2022,1.2778,0.0556,2.6667,1.2083
2 Mar 2022,1.6111,0,3.3889,1.5
3 Mar 2022,0,0,0,0
4 Mar 2022,1.1071,0.0714,1.9286,1.1607
5 Mar 2022,0.625,0.025,0.975,0.65
6 Mar 2022,0.3433,0.0149,0.6119,0.3881
7 Mar 2022,0.7843,0.0392,1.5882,0.8627
8 Mar 2022,0.8837,0.093,1.7674,0.907
9 Mar 2022,0.9167,0.0333,1.65,0.8
10 Mar 2022,1.5833,0.0556,2.9444,1.6944
11 Mar 2022,0,0,0,0
12 Mar 2022,0,0,0,0
13 Mar 2022,1,0,1.5,1.0833
14 Mar 2022,1,0,2,1
15 Mar 2022,0,0,0,0
16 Mar 2022,0,0,0,0
17 Mar 2022,1.3429,0.0571,2.6,1.4571
18 Mar 2022,1.3846,0.1795,2.5128,1.4872
19 Mar 2022,1.3939,0.2121,2.6061,1.6364
20 Mar 2022,4.3333,2,5.3333,4.3333
21 Mar 2022,2.9667,0.2667,5.7333,3.0333
22 Mar 2022,1.6923,0,3,1.6154
23 Mar 2022,1.4,0.05,2.4,1.6
24 Mar 2022,1.4,0.0222,2.3778,1.5556
25 Mar 2022,2.2182,0.0182,4.1455,2.2909
26 Mar 2022,3.5185,0.037,5.4074,3.8148
27 Mar 2022,0,0,0,0
28 Mar 2022,0,0,0,0
29 Mar 2022,0,0,0,0
30 Mar 2022,0,0,0,0
31 Mar 2022,1.2292,0.0208,2.0833,1.3542
