category,Average ATO,Minimum ATO,Maximum ATO,Median ATO
1 Mar 2022,44436.4028,40000,71777.7778,44083.3333
2 Mar 2022,43917.8333,40000,59111.1111,44222.2222
3 Mar 2022,0,0,0,0
4 Mar 2022,54027.4643,40000,113214.2857,55642.8571
5 Mar 2022,55389.05,40000,123000,54550
6 Mar 2022,51305.0896,40000,110328.3582,54716.4179
7 Mar 2022,50152.549,40000,99921.5686,55098.0392
8 Mar 2022,54998.6744,40000,123069.7674,51255.814
9 Mar 2022,49477.25,40000,94533.3333,49100
10 Mar 2022,47082.1111,40000,71000,48055.5556
11 Mar 2022,0,0,0,0
12 Mar 2022,0,0,0,0
13 Mar 2022,50299.75,40000,114000,43833.3333
14 Mar 2022,45617,40000,98666.6667,49333.3333
15 Mar 2022,0,0,0,0
16 Mar 2022,0,0,0,0
17 Mar 2022,45727.6571,40000,80457.1429,40914.2857
18 Mar 2022,52435.4359,40000,99897.4359,60358.9744
19 Mar 2022,51265.0909,40000,104000,56909.0909
20 Mar 2022,62842.3333,40000,149333.3333,65333.3333
21 Mar 2022,42325.8333,40000,67466.6667,44000
22 Mar 2022,40983.2308,40000,64000,40000
23 Mar 2022,41222.3,40000,63200,41000
24 Mar 2022,44792.8222,40000,87200,43955.5556
25 Mar 2022,41967.6909,40000,62400,41963.6364
26 Mar 2022,52309.5185,40000,83555.5556,49185.1852
27 Mar 2022,0,0,0,0
28 Mar 2022,0,0,0,0
29 Mar 2022,0,0,0,0
30 Mar 2022,0,0,0,0
31 Mar 2022,42084.5208,40000,66666.6667,44625
