category,Average ReordSeen,Minimum ReordSeen,Maximum ReordSeen,Median ReordSeen
1 Mar 2022,0.0137,0,0.0137,0.0137
2 Mar 2022,0,0,0,0
3 Mar 2022,0,0,0,0
4 Mar 2022,0,0,0.0185,0
5 Mar 2022,0,0,0,0
6 Mar 2022,0,0,0,0
7 Mar 2022,0.02,0,0.2,0
8 Mar 2022,0,0,0,0
9 Mar 2022,0.0656,0,0.082,0.082
10 Mar 2022,0,0,0,0
11 Mar 2022,0,0,0,0
12 Mar 2022,0,0,0,0
13 Mar 2022,5.6667,0.4167,16.25,3.75
14 Mar 2022,0,0,0.75,0
15 Mar 2022,0,0,0,0
16 Mar 2022,0,0,0,0
17 Mar 2022,1,0.1143,1.9714,1.6857
18 Mar 2022,0,0,0,0
19 Mar 2022,0,0,0,0
20 Mar 2022,0,0,0,0
21 Mar 2022,0,0,0,0
22 Mar 2022,0.2308,0.2308,0.2308,0.2308
23 Mar 2022,0.05,0,0.1,0.05
24 Mar 2022,0,0,0.0227,0
25 Mar 2022,0.0189,0.0189,0.0189,0.0189
26 Mar 2022,0,0,0,0
27 Mar 2022,0,0,0,0
28 Mar 2022,0,0,0,0
29 Mar 2022,0,0,0,0
30 Mar 2022,0,0,0,0
31 Mar 2022,0.1042,0.1042,0.1042,0.1042
