category,Average Unacked,Minimum Unacked,Maximum Unacked,Median Unacked
1 Mar 2022,134.5068,28.3973,315.1096,139.5479
2 Mar 2022,101.7647,21.1176,304.1176,75.8824
3 Mar 2022,0,0,0,0
4 Mar 2022,121.7037,23.0741,244.7222,130.2963
5 Mar 2022,151.119,37.4286,262.6667,169.619
6 Mar 2022,78.3433,22.2836,148.7612,80.9403
7 Mar 2022,267.48,16.7,542.96,289.32
8 Mar 2022,345.4091,17.5,652.7955,389.2045
9 Mar 2022,274.4426,23.6066,497.4754,299.459
10 Mar 2022,35.5714,11.4571,121.2286,28.8
11 Mar 2022,0,0,0,0
12 Mar 2022,0,0,0,0
13 Mar 2022,140.75,12.25,392.9167,177.8333
14 Mar 2022,41.25,21.25,67.25,44
15 Mar 2022,0,0,0,0
16 Mar 2022,0,0,0,0
17 Mar 2022,86.9143,13.2857,232.8857,92
18 Mar 2022,59.5789,14.6842,173.2105,54.3947
19 Mar 2022,37.3939,16.303,101.6667,36.1818
20 Mar 2022,72.5,11,155,94
21 Mar 2022,99.7241,15.8621,313.1379,98.0345
22 Mar 2022,58.1538,13.0769,232.1538,30.4615
23 Mar 2022,90.5,13.7,260.5,75.55
24 Mar 2022,107.9545,26.7045,280.5682,109.9318
25 Mar 2022,76.9434,23.0377,149.0189,83.6415
26 Mar 2022,67.4815,24.963,115,72.3333
27 Mar 2022,0,0,0,0
28 Mar 2022,0,0,0,0
29 Mar 2022,0,0,0,0
30 Mar 2022,0,0,0,0
31 Mar 2022,80,21.0625,239.0417,57.4167
