category,Average RTO,Minimum RTO,Maximum RTO,Median RTO
1 Mar 2022,348417.1528,272222.2222,504666.6667,351444.4444
2 Mar 2022,228898.4444,213555.5556,283333.3333,232111.1111
3 Mar 2022,0,0,0,0
4 Mar 2022,468199.8393,330928.5714,801142.8571,431714.2857
5 Mar 2022,404023.275,323600,588800,370250
6 Mar 2022,433913.9403,337492.5373,597910.4478,422149.2537
7 Mar 2022,372291.451,302666.6667,539843.1373,349098.0392
8 Mar 2022,350187.7442,310046.5116,437488.3721,339627.907
9 Mar 2022,374094.4167,307866.6667,512600,359600
10 Mar 2022,388991.1111,310222.2222,535444.4444,381555.5556
11 Mar 2022,0,0,0,0
12 Mar 2022,0,0,0,0
13 Mar 2022,614510,430666.6667,879333.3333,691166.6667
14 Mar 2022,436924.6667,293333.3333,725333.3333,607333.3333
15 Mar 2022,0,0,0,0
16 Mar 2022,0,0,0,0
17 Mar 2022,507891.1429,360228.5714,769942.8571,523085.7143
18 Mar 2022,444172.3846,303282.0513,705230.7692,445743.5897
19 Mar 2022,506378.697,347272.7273,824000,469454.5455
20 Mar 2022,1433240,346666.6667,2356000,1254666.6667
21 Mar 2022,259177.3333,212666.6667,350133.3333,261466.6667
22 Mar 2022,241448.2308,223692.3077,307692.3077,230000
23 Mar 2022,256166.55,224000,344000,238700
24 Mar 2022,250572.2889,223822.2222,298044.4444,259244.4444
25 Mar 2022,318396.9818,231854.5455,453236.3636,324072.7273
26 Mar 2022,389265.3333,248740.7407,661481.4815,355481.4815
27 Mar 2022,0,0,0,0
28 Mar 2022,0,0,0,0
29 Mar 2022,0,0,0,0
30 Mar 2022,0,0,0,0
31 Mar 2022,278412.8542,224916.6667,386500,278750
