category,Average BytesAcked,Minimum BytesAcked,Maximum BytesAcked,Median BytesAcked
1 Mar 2022,28444.25,4682.3472,52675.5694,29046.6528
2 Mar 2022,28281.9444,4281.5556,52477.2778,28860.1111
3 Mar 2022,0,0,0,0
4 Mar 2022,29627.3929,4710.1071,55313.125,30115.25
5 Mar 2022,29445.775,4706.5,54738.375,30039.825
6 Mar 2022,28162.0448,4675.597,52206.8209,28696.3731
7 Mar 2022,29182.9608,4713.4314,54099.9412,29629.9804
8 Mar 2022,29876.1395,4686.5349,55383.1163,30430.7674
9 Mar 2022,29068.6667,4716.6,53854.4833,29697.1667
10 Mar 2022,28852.8611,4712.1111,53678.1111,29272.1944
11 Mar 2022,0,0,0,0
12 Mar 2022,0,0,0,0
13 Mar 2022,27983.4167,4672.8333,52214,28859.9167
14 Mar 2022,30071.3333,4555,56299.6667,30843
15 Mar 2022,0,0,0,0
16 Mar 2022,0,0,0,0
17 Mar 2022,27328,4472.0857,50423.4571,27834.2571
18 Mar 2022,29287.7179,4694.8462,54158.8205,30056.2564
19 Mar 2022,29341.2424,4696.1212,54816.3636,30080.4545
20 Mar 2022,20070.6667,4690.6667,35091.3333,20674.6667
21 Mar 2022,30596,4744.5333,56610.5,31041.4667
22 Mar 2022,29914.5385,4758,55362.6923,30467.1538
23 Mar 2022,30182.4,4747.9,55861.45,31077.85
24 Mar 2022,29859.3556,4744.5333,55191.2667,30224.5333
25 Mar 2022,29629.3636,4746.9818,54843.7636,30390.5273
26 Mar 2022,29889.2593,4743.037,55059.963,30492.963
27 Mar 2022,0,0,0,0
28 Mar 2022,0,0,0,0
29 Mar 2022,0,0,0,0
30 Mar 2022,0,0,0,0
31 Mar 2022,28977.6042,4753.7917,53433.9375,29352.8333
