category,Average DataSegsOut,Minimum DataSegsOut,Maximum DataSegsOut,Median DataSegsOut
1 Mar 2022,5730.6301,345.9589,11901.726,5858.6027
2 Mar 2022,10118.2353,748.2941,20143.7059,10380.7647
3 Mar 2022,0,0,0,0
4 Mar 2022,3125.8519,377.3704,6502.537,3184.8519
5 Mar 2022,2863.5238,144.0714,6449,2778.2857
6 Mar 2022,1318.2388,70.3433,2772.8358,1357.2239
7 Mar 2022,8434.76,374.08,18248,8554.46
8 Mar 2022,8474.5227,342.0682,18203.2273,8594.4091
9 Mar 2022,8018.1311,488.7869,16968.9836,8155.2295
10 Mar 2022,6127.8,606.7714,11956,6469.7714
11 Mar 2022,0,0,0,0
12 Mar 2022,0,0,0,0
13 Mar 2022,884.3333,43,2688,655.3333
14 Mar 2022,312.5,58.5,580.25,337.25
15 Mar 2022,0,0,0,0
16 Mar 2022,0,0,0,0
17 Mar 2022,5358.1714,345.2571,10940.2571,5636.8857
18 Mar 2022,5213.9737,376.5263,10454.6842,5393.7105
19 Mar 2022,3116.0606,274.9697,6032.0909,3177.7273
20 Mar 2022,227,25,464.5,264
21 Mar 2022,8277.7931,529.0345,17108.8276,8694.3793
22 Mar 2022,10072.3077,959.7692,19402.9231,10300.1538
23 Mar 2022,6702.2,386.8,13725.95,6869.1
24 Mar 2022,6762.3182,424.2955,14116.8864,6857
25 Mar 2022,5236.3962,270.8113,11247.1132,5263
26 Mar 2022,2391.4815,114.2593,5492.2593,2292.7037
27 Mar 2022,0,0,0,0
28 Mar 2022,0,0,0,0
29 Mar 2022,0,0,0,0
30 Mar 2022,0,0,0,0
31 Mar 2022,7775.0833,562.8333,15979.6458,7865.3125
