category,Average DeliveryRate,Minimum DeliveryRate,Maximum DeliveryRate,Median DeliveryRate
1 Mar 2022,525254.2917,434208.7222,561776.5139,533002.9028
2 Mar 2022,934668.0556,846390.9444,963455.3333,938705.6667
3 Mar 2022,0,0,0,0
4 Mar 2022,291955.125,227034.3214,313113.0536,299460.0536
5 Mar 2022,86940.425,83168.875,88676.05,87677.9
6 Mar 2022,97871.0448,94000.791,101876.7612,97518.1045
7 Mar 2022,574793.7647,520092.902,587616.5882,579955.9412
8 Mar 2022,465505.5814,428110.5349,475819.5116,470997.3953
9 Mar 2022,532544.3833,471009.7833,545856.1833,542684.9
10 Mar 2022,891618.8056,889157.75,893008.4444,890899.3611
11 Mar 2022,0,0,0,0
12 Mar 2022,0,0,0,0
13 Mar 2022,39282.0833,29581,44007,38638.6667
14 Mar 2022,66332.3333,65560.3333,66504,66504
15 Mar 2022,0,0,0,0
16 Mar 2022,0,0,0,0
17 Mar 2022,578588.8286,519045.2,595765,576133.7143
18 Mar 2022,560573.641,514592.0769,574351.0513,558112.8718
19 Mar 2022,373711.9394,369514.3636,376353.5455,373444.3636
20 Mar 2022,30888.3333,28986.6667,31985.3333,30735.3333
21 Mar 2022,815004.2,729351.6333,857070.7333,817041.5
22 Mar 2022,1050913.3846,1050410.5385,1052538.7692,1050410.5385
23 Mar 2022,545489.2,396827.45,589740.55,536394.9
24 Mar 2022,517297.9556,468817.1111,528825.3333,521683.0667
25 Mar 2022,536111.2545,452392.5273,560969.7091,531325.3636
26 Mar 2022,110029.4074,99975.7407,116439.1852,108775.4074
27 Mar 2022,0,0,0,0
28 Mar 2022,0,0,0,0
29 Mar 2022,0,0,0,0
30 Mar 2022,0,0,0,0
31 Mar 2022,710107.3125,693604.9167,721409.0208,710200.2083
