category,Average DataSegsOut,Minimum DataSegsOut,Maximum DataSegsOut,Median DataSegsOut
1 Mar 2022,47.5694,5.0139,90.1944,48.4583
2 Mar 2022,47.4444,4.6667,90.1111,48.2778
3 Mar 2022,0,0,0,0
4 Mar 2022,49.9286,5.0357,94.5714,50.8929
5 Mar 2022,48.975,5,92.7,49.95
6 Mar 2022,46.8209,5.0149,88.5522,47.8209
7 Mar 2022,48.5686,5.0392,92.1569,49.6863
8 Mar 2022,50.0465,5.093,95.093,51.2791
9 Mar 2022,48.4667,5.0167,91.8,49.4167
10 Mar 2022,48.75,5.0278,92.5,49.8611
11 Mar 2022,0,0,0,0
12 Mar 2022,0,0,0,0
13 Mar 2022,47.9167,5,90.3333,49.1667
14 Mar 2022,51,5,97,52.3333
15 Mar 2022,0,0,0,0
16 Mar 2022,0,0,0,0
17 Mar 2022,46.2857,4.8857,87.1429,47.5714
18 Mar 2022,49.2564,5.1538,93.2308,50.7179
19 Mar 2022,49.8485,5.2121,94.5758,51.0303
20 Mar 2022,37.3333,7,65,38.3333
21 Mar 2022,52.3667,5.2667,99.5667,53.3
22 Mar 2022,50,5,94.6154,50.8462
23 Mar 2022,50.35,5.05,95.3,51.85
24 Mar 2022,49.7556,5.0222,94.0889,50.5333
25 Mar 2022,50.4,5.0182,95.3818,51.8182
26 Mar 2022,52.8148,5.037,99,54.2963
27 Mar 2022,0,0,0,0
28 Mar 2022,0,0,0,0
29 Mar 2022,0,0,0,0
30 Mar 2022,0,0,0,0
31 Mar 2022,48.1875,5,91,49.1875
