category,Average ATO,Minimum ATO,Maximum ATO,Median ATO
1 Mar 2022,40000,40000,40000,40000
2 Mar 2022,40000,40000,40000,40000
3 Mar 2022,0,0,0,0
4 Mar 2022,40000,40000,40000,40000
5 Mar 2022,40000,40000,40000,40000
6 Mar 2022,40000,40000,40000,40000
7 Mar 2022,40036,40000,40240,40000
8 Mar 2022,40000,40000,40000,40000
9 Mar 2022,40013.8033,40000,40131.1475,40000
10 Mar 2022,40000,40000,40000,40000
11 Mar 2022,0,0,0,0
12 Mar 2022,0,0,0,0
13 Mar 2022,40000,40000,40000,40000
14 Mar 2022,40000,40000,40000,40000
15 Mar 2022,0,0,0,0
16 Mar 2022,0,0,0,0
17 Mar 2022,40000,40000,40000,40000
18 Mar 2022,40000,40000,40000,40000
19 Mar 2022,40040.3939,40000,40363.6364,40000
20 Mar 2022,40000,40000,40000,40000
21 Mar 2022,40000,40000,40000,40000
22 Mar 2022,40000,40000,40000,40000
23 Mar 2022,40000,40000,40000,40000
24 Mar 2022,40000,40000,40000,40000
25 Mar 2022,40018.9434,40000,40301.8868,40150.9434
26 Mar 2022,40000,40000,40000,40000
27 Mar 2022,0,0,0,0
28 Mar 2022,0,0,0,0
29 Mar 2022,0,0,0,0
30 Mar 2022,0,0,0,0
31 Mar 2022,40000,40000,40000,40000
