category,Average Delivered,Minimum Delivered,Maximum Delivered,Median Delivered
1 Mar 2022,5387.4658,287.8767,11243.0137,5506.2055
2 Mar 2022,9608,672.5882,19121.8824,9889.1765
3 Mar 2022,0,0,0,0
4 Mar 2022,2898.1667,333.6296,6146.0741,2948.5741
5 Mar 2022,2726.881,95.6667,6294.5476,2627.0952
6 Mar 2022,1217.7463,40.0746,2632.0299,1253.0597
7 Mar 2022,7846.46,314.88,17184.26,7917.16
8 Mar 2022,7915.8636,296.5,17326.3636,7976.4773
9 Mar 2022,7525.7213,428.9672,16185.3279,7628.9016
10 Mar 2022,5736.6857,545.1429,11173.3429,6077.9429
11 Mar 2022,0,0,0,0
12 Mar 2022,0,0,0,0
13 Mar 2022,660.0833,22.75,2183.6667,453.5833
14 Mar 2022,240.75,26.75,469,271
15 Mar 2022,0,0,0,0
16 Mar 2022,0,0,0,0
17 Mar 2022,4966.3143,288.2571,10133.4,5212
18 Mar 2022,4879.9211,317.4211,9777.1053,5055.0526
19 Mar 2022,2893.697,234.2424,5587.1515,2957.1818
20 Mar 2022,124,12,281,133.5
21 Mar 2022,7781.4483,453.8621,16075.5517,8195.8966
22 Mar 2022,9388.3077,861.6154,18009.6154,9611
23 Mar 2022,6380.25,320.6,13051.55,6589.55
24 Mar 2022,6403.2955,352.2955,13425.9545,6494.1364
25 Mar 2022,5083.4528,226.1321,10968.1887,5112.7547
26 Mar 2022,2321.1111,80.7407,5400.5556,2216.3333
27 Mar 2022,0,0,0,0
28 Mar 2022,0,0,0,0
29 Mar 2022,0,0,0,0
30 Mar 2022,0,0,0,0
31 Mar 2022,7322.5,479.1667,15079.75,7418.2708
