category,Average DataSegsIn,Minimum DataSegsIn,Maximum DataSegsIn,Median DataSegsIn
1 Mar 2022,8.5753,3,15.7808,8.7534
2 Mar 2022,10.3529,3,19.2941,10.6471
3 Mar 2022,0,0,0,0
4 Mar 2022,7.9259,3,14.3333,8.2778
5 Mar 2022,8.7857,2.9762,15.6905,9.0952
6 Mar 2022,7.2239,3.0149,12.8507,7.5373
7 Mar 2022,9.44,2.98,17.26,9.8
8 Mar 2022,9.7273,2.9773,17.5227,9.9318
9 Mar 2022,10.2787,3.0164,18.7377,10.6557
10 Mar 2022,8.7429,3,15.6,9.2
11 Mar 2022,0,0,0,0
12 Mar 2022,0,0,0,0
13 Mar 2022,5.5,3,9.1667,5.5
14 Mar 2022,4,3,5.75,4.5
15 Mar 2022,0,0,0,0
16 Mar 2022,0,0,0,0
17 Mar 2022,7.5143,3,13.2571,7.8857
18 Mar 2022,7.3947,2.9737,12.9211,7.6579
19 Mar 2022,6.1515,3,10.1515,6.1818
20 Mar 2022,4,3,5,4
21 Mar 2022,9.1034,2.9655,16.5862,9.4828
22 Mar 2022,9.3846,3,17,9.3077
23 Mar 2022,9.3,3,16.9,9.45
24 Mar 2022,10.5,3,19.5227,10.7273
25 Mar 2022,10.8113,3,19.8679,11.283
26 Mar 2022,10.6667,3.037,19.8148,11.1111
27 Mar 2022,0,0,0,0
28 Mar 2022,0,0,0,0
29 Mar 2022,0,0,0,0
30 Mar 2022,0,0,0,0
31 Mar 2022,10.5,3,19.4167,10.6458
