category,Average Unacked,Minimum Unacked,Maximum Unacked,Median Unacked
1 Mar 2022,0.5556,0,3.3889,0.5556
2 Mar 2022,0.1667,0,1.6667,0.1111
3 Mar 2022,0,0,0,0
4 Mar 2022,1.1071,0,5.1429,1.25
5 Mar 2022,0.9,0,4.375,1
6 Mar 2022,1.2239,0,5.2537,1.3134
7 Mar 2022,0.8627,0,3.7843,1.1176
8 Mar 2022,1.0465,0,4.2093,1.2326
9 Mar 2022,0.8333,0,3.9,0.8667
10 Mar 2022,1.1111,0.0278,3.8889,1.2778
11 Mar 2022,0,0,0,0
12 Mar 2022,0,0,0,0
13 Mar 2022,2.1667,0,7.25,1.6667
14 Mar 2022,1.6667,0,6.3333,1.3333
15 Mar 2022,0,0,0,0
16 Mar 2022,0,0,0,0
17 Mar 2022,1.1143,0,4.1429,1.4286
18 Mar 2022,0.8462,0,3.6923,0.9231
19 Mar 2022,1.4242,0,5.1212,1.1818
20 Mar 2022,2,0,4.6667,1.6667
21 Mar 2022,0.1333,0,2.2333,0.2667
22 Mar 2022,0.1538,0,1.5385,0.1538
23 Mar 2022,0.3,0,2.05,0.05
24 Mar 2022,0.1778,0,2.0667,0.2667
25 Mar 2022,0.6182,0,3.6545,0.5818
26 Mar 2022,1.1111,0,5.7778,1.2963
27 Mar 2022,0,0,0,0
28 Mar 2022,0,0,0,0
29 Mar 2022,0,0,0,0
30 Mar 2022,0,0,0,0
31 Mar 2022,0.3542,0,2.0625,0.6458
