category,Average RTO,Minimum RTO,Maximum RTO,Median RTO
1 Mar 2022,388968.7808,267726.0274,626794.5205,395698.6301
2 Mar 2022,260172.1176,216941.1765,407764.7059,255411.7647
3 Mar 2022,0,0,0,0
4 Mar 2022,544410.8704,345259.2593,898296.2963,525481.4815
5 Mar 2022,480563.7857,311523.8095,738095.2381,509571.4286
6 Mar 2022,630660.8806,379940.2985,954626.8657,650835.8209
7 Mar 2022,425827.36,300880,769680,367920
8 Mar 2022,437390.1818,309090.9091,767363.6364,431227.2727
9 Mar 2022,416847.0656,291409.8361,735737.7049,431803.2787
10 Mar 2022,664400.0571,394514.2857,954857.1429,827371.4286
11 Mar 2022,0,0,0,0
12 Mar 2022,0,0,0,0
13 Mar 2022,948178.25,450666.6667,1639000,1293166.6667
14 Mar 2022,1421166.75,317000,2525000,2091000
15 Mar 2022,0,0,0,0
16 Mar 2022,0,0,0,0
17 Mar 2022,708419.8857,408914.2857,1094285.7143,830857.1429
18 Mar 2022,712896.9737,333052.6316,1180842.1053,963789.4737
19 Mar 2022,1099964,499878.7879,1716484.8485,1326060.6061
20 Mar 2022,354866.5,344000,368000,344000
21 Mar 2022,272336,212000,475034.4828,289379.3103
22 Mar 2022,258501,229538.4615,350769.2308,284307.6923
23 Mar 2022,336799.1,238200,607600,317900
24 Mar 2022,287574.7045,228000,417909.0909,306954.5455
25 Mar 2022,293585.6981,231773.5849,467622.6415,285094.3396
26 Mar 2022,337216,248888.8889,499111.1111,339555.5556
27 Mar 2022,0,0,0,0
28 Mar 2022,0,0,0,0
29 Mar 2022,0,0,0,0
30 Mar 2022,0,0,0,0
31 Mar 2022,268999.8333,228833.3333,365083.3333,260458.3333
