category,Average Lost,Minimum Lost,Maximum Lost,Median Lost
1 Mar 2022,0.0139,0,0.2083,0
2 Mar 2022,0,0,0.1111,0
3 Mar 2022,0,0,0,0
4 Mar 2022,0,0,0.1429,0
5 Mar 2022,0,0,0.05,0
6 Mar 2022,0,0,0.0299,0
7 Mar 2022,0,0,0.0196,0
8 Mar 2022,0,0,0,0
9 Mar 2022,0,0,0.05,0
10 Mar 2022,0.0556,0,0.2778,0.1667
11 Mar 2022,0,0,0,0
12 Mar 2022,0,0,0,0
13 Mar 2022,0,0,0.1667,0
14 Mar 2022,0,0,0,0
15 Mar 2022,0,0,0,0
16 Mar 2022,0,0,0,0
17 Mar 2022,0.0286,0,0.4571,0.0857
18 Mar 2022,0,0,0.0769,0
19 Mar 2022,0.0303,0,0.1818,0
20 Mar 2022,0.3333,0,0.3333,0.3333
21 Mar 2022,0,0,0.1333,0.0333
22 Mar 2022,0,0,0,0
23 Mar 2022,0,0,0.05,0
24 Mar 2022,0,0,0,0
25 Mar 2022,0.0182,0,0.3455,0.0182
26 Mar 2022,0,0,0.1481,0
27 Mar 2022,0,0,0,0
28 Mar 2022,0,0,0,0
29 Mar 2022,0,0,0,0
30 Mar 2022,0,0,0,0
31 Mar 2022,0,0,0.0625,0
