category,Average RTTVar,Minimum RTTVar,Maximum RTTVar,Median RTTVar
1 Mar 2022,27198.6667,7370.2639,63088.0972,27669.6389
2 Mar 2022,7651.5556,1995.8333,29752.1111,8382.8889
3 Mar 2022,0,0,0,0
4 Mar 2022,44668.8393,12798.125,126454.9107,41271.7857
5 Mar 2022,33047.05,11453.6,88895.4,27983.825
6 Mar 2022,36765.4776,12242.0746,85322.1045,34443.9851
7 Mar 2022,28080.9412,10182.5686,71981.2549,24946.2157
8 Mar 2022,26402.3488,11269.4884,55588.6744,24724.8837
9 Mar 2022,30805.85,12206.75,73779.4,27342.0833
10 Mar 2022,25809.5278,9762.7778,66882.6944,24636.6389
11 Mar 2022,0,0,0,0
12 Mar 2022,0,0,0,0
13 Mar 2022,54137.3333,17212.5,127905.5833,57160.75
14 Mar 2022,44094.3333,11373.3333,117469.6667,52490.6667
15 Mar 2022,0,0,0,0
16 Mar 2022,0,0,0,0
17 Mar 2022,49862.2286,16424.1714,115084.4571,52572.6
18 Mar 2022,40470.3846,11569.9744,107456.0513,33220.5897
19 Mar 2022,46549.303,15015.4848,123663.3636,40574.3636
20 Mar 2022,38265.3333,18044,97703.6667,32231.6667
21 Mar 2022,16002.7,2629.7,43488.9333,18517.8
22 Mar 2022,9458.3077,1904.1538,34937,5979.5385
23 Mar 2022,13901.1,3087.8,43146.6,11794.9
24 Mar 2022,14590.5111,4671.3778,35954.3556,14224.5111
25 Mar 2022,26376.9818,5194.2545,65895.9636,27957.5455
26 Mar 2022,43613.1481,11311.1111,112933.7037,35012.7407
27 Mar 2022,0,0,0,0
28 Mar 2022,0,0,0,0
29 Mar 2022,0,0,0,0
30 Mar 2022,0,0,0,0
31 Mar 2022,16369.0417,3728.0625,49839.9375,17439.625
