category,Average ReordSeen,Minimum ReordSeen,Maximum ReordSeen,Median ReordSeen
1 Mar 2022,0.0278,0,0.0417,0.0278
2 Mar 2022,0.0556,0,0.0556,0.0556
3 Mar 2022,0,0,0,0
4 Mar 2022,0,0,0,0
5 Mar 2022,0,0,0.025,0
6 Mar 2022,0,0,0,0
7 Mar 2022,0,0,0,0
8 Mar 2022,0,0,0,0
9 Mar 2022,0,0,0,0
10 Mar 2022,0,0,0,0
11 Mar 2022,0,0,0,0
12 Mar 2022,0,0,0,0
13 Mar 2022,0.25,0.25,0.25,0.25
14 Mar 2022,0,0,0,0
15 Mar 2022,0,0,0,0
16 Mar 2022,0,0,0,0
17 Mar 2022,0.0571,0.0286,0.0571,0.0571
18 Mar 2022,0.0256,0,0.0256,0.0256
19 Mar 2022,0,0,0,0
20 Mar 2022,0,0,0,0
21 Mar 2022,0.0667,0.0333,0.0667,0.0667
22 Mar 2022,0.0769,0.0769,0.0769,0.0769
23 Mar 2022,0.1,0,0.1,0.1
24 Mar 2022,0,0,0,0
25 Mar 2022,0,0,0.0182,0
26 Mar 2022,0,0,0,0
27 Mar 2022,0,0,0,0
28 Mar 2022,0,0,0,0
29 Mar 2022,0,0,0,0
30 Mar 2022,0,0,0,0
31 Mar 2022,0,0,0,0
