category,Average RcvMSS,Minimum RcvMSS,Maximum RcvMSS,Median RcvMSS
1 Mar 2022,537.726,537.726,537.726,537.726
2 Mar 2022,544.9412,544.9412,544.9412,544.9412
3 Mar 2022,0,0,0,0
4 Mar 2022,536,536,536,536
5 Mar 2022,536,536,536,536
6 Mar 2022,536,536,536,536
7 Mar 2022,536,536,536,536
8 Mar 2022,536,536,536,536
9 Mar 2022,536,536,536,536
10 Mar 2022,536,536,536,536
11 Mar 2022,0,0,0,0
12 Mar 2022,0,0,0,0
13 Mar 2022,536,536,536,536
14 Mar 2022,536,536,536,536
15 Mar 2022,0,0,0,0
16 Mar 2022,0,0,0,0
17 Mar 2022,541.4571,541.4571,541.4571,541.4571
18 Mar 2022,536,536,536,536
19 Mar 2022,536,536,536,536
20 Mar 2022,536,536,536,536
21 Mar 2022,536,536,536,536
22 Mar 2022,536,536,536,536
23 Mar 2022,536,536,536,536
24 Mar 2022,536,536,536,536
25 Mar 2022,536,536,536,536
26 Mar 2022,536,536,536,536
27 Mar 2022,0,0,0,0
28 Mar 2022,0,0,0,0
29 Mar 2022,0,0,0,0
30 Mar 2022,0,0,0,0
31 Mar 2022,536,536,536,536
