category,Average Delivered,Minimum Delivered,Maximum Delivered,Median Delivered
1 Mar 2022,47.6111,5.9028,89.8056,48.625
2 Mar 2022,47.3889,5.6111,88.8333,48.4444
3 Mar 2022,0,0,0,0
4 Mar 2022,49.6786,5.7857,94.1964,50.625
5 Mar 2022,49,5.775,92.4,50.025
6 Mar 2022,46.6269,5.6119,88.0299,47.597
7 Mar 2022,48.5882,5.8235,91.8627,49.4706
8 Mar 2022,49.907,5.6977,94.3953,50.8837
9 Mar 2022,48.3833,5.8167,91.45,49.3833
10 Mar 2022,48.1944,5.8056,91.2778,49.25
11 Mar 2022,0,0,0,0
12 Mar 2022,0,0,0,0
13 Mar 2022,46.25,5.5833,88.1667,48.0833
14 Mar 2022,50,5,95.3333,51.3333
15 Mar 2022,0,0,0,0
16 Mar 2022,0,0,0,0
17 Mar 2022,45.8,5.6571,85.7714,46.6571
18 Mar 2022,49.0513,5.7436,92.3333,50.3846
19 Mar 2022,48.7879,5.7576,92.8788,49.9394
20 Mar 2022,33.6667,5.6667,59.6667,34.6667
21 Mar 2022,51.9,5.9667,97.6,52.9333
22 Mar 2022,50.8462,6,95.5385,51.6923
23 Mar 2022,50.85,6,95.6,52.5
24 Mar 2022,50.3111,5.9556,94.5556,51.1111
25 Mar 2022,50.0364,5.9636,93.8,51.5273
26 Mar 2022,51.4074,5.963,95.4444,52.9259
27 Mar 2022,0,0,0,0
28 Mar 2022,0,0,0,0
29 Mar 2022,0,0,0,0
30 Mar 2022,0,0,0,0
31 Mar 2022,48.6042,5.9792,91.1458,49.25
