category,Average PMTU,Minimum PMTU,Maximum PMTU,Median PMTU
1 Mar 2022,64076,64076,64076,64076
2 Mar 2022,64076,64076,64076,64076
3 Mar 2022,0,0,0,0
4 Mar 2022,64076,64076,64076,64076
5 Mar 2022,64076,64076,64076,64076
6 Mar 2022,64076,64076,64076,64076
7 Mar 2022,64076,64076,64076,64076
8 Mar 2022,64076,64076,64076,64076
9 Mar 2022,64076,64076,64076,64076
10 Mar 2022,64076,64076,64076,64076
11 Mar 2022,0,0,0,0
12 Mar 2022,0,0,0,0
13 Mar 2022,64076,64076,64076,64076
14 Mar 2022,64076,64076,64076,64076
15 Mar 2022,0,0,0,0
16 Mar 2022,0,0,0,0
17 Mar 2022,64076,64076,64076,64076
18 Mar 2022,64076,64076,64076,64076
19 Mar 2022,64076,64076,64076,64076
20 Mar 2022,64076,64076,64076,64076
21 Mar 2022,64076,64076,64076,64076
22 Mar 2022,64076,64076,64076,64076
23 Mar 2022,64076,64076,64076,64076
24 Mar 2022,64076,64076,64076,64076
25 Mar 2022,64076,64076,64076,64076
26 Mar 2022,64076,64076,64076,64076
27 Mar 2022,0,0,0,0
28 Mar 2022,0,0,0,0
29 Mar 2022,0,0,0,0
30 Mar 2022,0,0,0,0
31 Mar 2022,64076,64076,64076,64076
