category,Average Sacked,Minimum Sacked,Maximum Sacked,Median Sacked
1 Mar 2022,21.9041,0,108.2055,24.6712
2 Mar 2022,10.4118,0,78.4118,12.9412
3 Mar 2022,0,0,0,0
4 Mar 2022,18.3333,0,94.6667,20.463
5 Mar 2022,24.0476,0,96,28.0476
6 Mar 2022,12.3134,0,55.9851,13.9403
7 Mar 2022,7.5,0,102.58,4.48
8 Mar 2022,10.25,0,157.0227,6.1136
9 Mar 2022,7.9016,0,116.541,3.4426
10 Mar 2022,1.3143,0,9.4857,2.1143
11 Mar 2022,0,0,0,0
12 Mar 2022,0,0,0,0
13 Mar 2022,26.5,0,188.0833,29.8333
14 Mar 2022,4.25,0,11.25,9.75
15 Mar 2022,0,0,0,0
16 Mar 2022,0,0,0,0
17 Mar 2022,8,0,86.0286,2.1714
18 Mar 2022,3.5526,0,33.8158,2.8158
19 Mar 2022,1.4545,0,8.5758,2.6667
20 Mar 2022,3,0,13.5,3
21 Mar 2022,10.069,0,76.2759,10.1034
22 Mar 2022,6.4615,0,39.3846,9
23 Mar 2022,5.45,0,55.25,3.5
24 Mar 2022,8.8182,0,78.3636,13.7045
25 Mar 2022,3.283,0,35.7547,1.2453
26 Mar 2022,2.2222,0,22.6667,0.5556
27 Mar 2022,0,0,0,0
28 Mar 2022,0,0,0,0
29 Mar 2022,0,0,0,0
30 Mar 2022,0,0,0,0
31 Mar 2022,7.1667,0,45.8333,4.8333
