category,Average SegsOut,Minimum SegsOut,Maximum SegsOut,Median SegsOut
1 Mar 2022,5737.726,349.0685,11912.4932,5866.1096
2 Mar 2022,10125.5882,751.2941,20154.6471,10388.5294
3 Mar 2022,0,0,0,0
4 Mar 2022,3132.8148,380.5,6513.9259,3192.2593
5 Mar 2022,2871.1905,147.4286,6461.2619,2786.0714
6 Mar 2022,1324.2985,73.4776,2782.3284,1363.6119
7 Mar 2022,8442.08,377.08,18259.68,8561.94
8 Mar 2022,8482.8409,345.1364,18216.6818,8602.9773
9 Mar 2022,8026.9672,491.9836,16983.2131,8164.5574
10 Mar 2022,6134.9429,609.9143,11966.7429,6477.5714
11 Mar 2022,0,0,0,0
12 Mar 2022,0,0,0,0
13 Mar 2022,890.75,46.1667,2699.25,661.8333
14 Mar 2022,316.5,61.75,586.25,341.5
15 Mar 2022,0,0,0,0
16 Mar 2022,0,0,0,0
17 Mar 2022,5364.5714,348.4,10950.0286,5643.8857
18 Mar 2022,5219.8947,379.5263,10463.5,5400.0526
19 Mar 2022,3121.3636,278.1515,6039.5758,3183.3333
20 Mar 2022,231,28,470.5,268
21 Mar 2022,8285.1724,532,17120.1379,8702.2414
22 Mar 2022,10078.7692,962.7692,19412.2308,10307
23 Mar 2022,6709.7,389.85,13737.65,6876.95
24 Mar 2022,6770.7727,427.4318,14130.9091,6865.7955
25 Mar 2022,5243.8679,273.9434,11258.4151,5271.0755
26 Mar 2022,2399.7778,117.5185,5505.963,2301
27 Mar 2022,0,0,0,0
28 Mar 2022,0,0,0,0
29 Mar 2022,0,0,0,0
30 Mar 2022,0,0,0,0
31 Mar 2022,7783.0625,565.9792,15991.9375,7873.7708
