category,Average BytesSent,Minimum BytesSent,Maximum BytesSent,Median BytesSent
1 Mar 2022,29147.125,4722.5139,53699.375,29648.4167
2 Mar 2022,29109.8889,4292.7778,54264.7778,29618.8889
3 Mar 2022,0,0,0,0
4 Mar 2022,30419.8929,4773,56135.0714,30935.7857
5 Mar 2022,30084.975,4757,55453.7,30636.575
6 Mar 2022,28912.7612,4765.0746,53148.3433,29453.5373
7 Mar 2022,29754.7059,4778.2157,54826.1765,30327.4902
8 Mar 2022,30547.093,4827.3023,56339.8372,31240.5814
9 Mar 2022,29652.4167,4766.0167,54610.9333,30244.3833
10 Mar 2022,30055.6389,4772.0278,55246.7222,30733.9167
11 Mar 2022,0,0,0,0
12 Mar 2022,0,0,0,0
13 Mar 2022,29287.9167,4757,53836.75,29976.0833
14 Mar 2022,30908,4757,57163,31661.3333
15 Mar 2022,0,0,0,0
16 Mar 2022,0,0,0,0
17 Mar 2022,28438.3429,4543.8571,52259.8286,29123.7714
18 Mar 2022,30120.9744,4921.9744,55341.3333,30913.9487
19 Mar 2022,30924.2727,4968.7273,56803.2727,31649.9091
20 Mar 2022,25250,6638,41189.3333,25771.6667
21 Mar 2022,31983.7,5061.7333,59121.8,32396.5333
22 Mar 2022,30094.4615,4758,55491.6923,30626.6923
23 Mar 2022,30634.6,4775.8,56534.15,31461.45
24 Mar 2022,30099.6889,4765.9111,55480.4667,30452.2444
25 Mar 2022,30352.6545,4764.4727,56403.0727,31013.8727
26 Mar 2022,31007.4074,4778.0741,57159.1481,31679.4444
27 Mar 2022,0,0,0,0
28 Mar 2022,0,0,0,0
29 Mar 2022,0,0,0,0
30 Mar 2022,0,0,0,0
31 Mar 2022,29270.2917,4758,53837.3542,29775.125
