category,Average ReordSeen,Minimum ReordSeen,Maximum ReordSeen,Median ReordSeen
1 Nov 2021,0.2769,0.2615,0.3231,0.2769
2 Nov 2021,0.3191,0.234,0.3617,0.3191
3 Nov 2021,0,0,0,0
4 Nov 2021,0.2273,0.2273,0.2273,0.2273
5 Nov 2021,0.0244,0.0244,0.0488,0.0244
6 Nov 2021,0,0,0,0
7 Nov 2021,0.125,0,0.125,0.125
8 Nov 2021,0.6552,0.6207,0.6552,0.6552
9 Nov 2021,0.1875,0.1563,0.1875,0.1875
10 Nov 2021,0,0,0,0
11 Nov 2021,0.8611,0.7778,0.9167,0.8889
12 Nov 2021,0.1667,0,0.4394,0.0909
13 Nov 2021,0,0,0.0625,0
14 Nov 2021,0.0952,0.0476,0.0952,0.0952
15 Nov 2021,0.5833,0.5833,0.5833,0.5833
16 Nov 2021,0.5,0.1818,0.7273,0.4091
17 Nov 2021,0,0,0,0
18 Nov 2021,0,0,0,0
19 Nov 2021,0,0,0,0
20 Nov 2021,3,3,3,3
21 Nov 2021,0.375,0.125,0.375,0.375
22 Nov 2021,0.0472,0.0189,0.0566,0.0566
23 Nov 2021,0.0226,0.0075,0.0526,0.0075
24 Nov 2021,0,0,0,0
25 Nov 2021,0.1848,0.1413,0.2065,0.1957
26 Nov 2021,0,0,0.0645,0
27 Nov 2021,0,0,0,0
28 Nov 2021,0.05,0.05,0.05,0.05
29 Nov 2021,0.3659,0.3171,0.3902,0.3659
30 Nov 2021,0.2154,0.1385,0.2769,0.2
