category,Average RcvMSS,Minimum RcvMSS,Maximum RcvMSS,Median RcvMSS
1 Nov 2021,551.1077,551.1077,551.1077,551.1077
2 Nov 2021,548.1489,548.1489,548.1489,548.1489
3 Nov 2021,540.9048,540.9048,540.9048,540.9048
4 Nov 2021,536,536,536,536
5 Nov 2021,536,536,536,536
6 Nov 2021,536,536,536,536
7 Nov 2021,536,536,536,536
8 Nov 2021,538.3448,538.3448,538.3448,538.3448
9 Nov 2021,536,536,536,536
10 Nov 2021,536,536,536,536
11 Nov 2021,536,536,536,536
12 Nov 2021,536,536,536,536
13 Nov 2021,536,536,536,536
14 Nov 2021,536,536,536,536
15 Nov 2021,536,536,536,536
16 Nov 2021,536,536,536,536
17 Nov 2021,0,0,0,0
18 Nov 2021,0,0,0,0
19 Nov 2021,0,0,0,0
20 Nov 2021,536,536,536,536
21 Nov 2021,536,536,536,536
22 Nov 2021,538.3396,538.3396,538.3396,538.3396
23 Nov 2021,536,536,536,536
24 Nov 2021,536,536,536,536
25 Nov 2021,540.0435,540.0435,540.0435,540.0435
26 Nov 2021,537.8387,537.8387,537.8387,537.8387
27 Nov 2021,536,536,536,536
28 Nov 2021,536,536,536,536
29 Nov 2021,536,536,536,536
30 Nov 2021,537.9077,537.9077,537.9077,537.9077
