category,Average DataSegsIn,Minimum DataSegsIn,Maximum DataSegsIn,Median DataSegsIn
1 Nov 2021,1577.1406,187.6719,2828.1719,1592.4063
2 Nov 2021,1402.0222,140.2444,2554.5556,1446.7556
3 Nov 2021,1171.4603,149.9841,2090.0952,1203.9365
4 Nov 2021,3038.3182,350.3182,5327.1364,3053.9545
5 Nov 2021,2612.6341,329.2927,4576.1463,2612.4878
6 Nov 2021,377.7843,46.902,667.1961,392.2549
7 Nov 2021,803.9167,71.6667,1394.0833,832.375
8 Nov 2021,1300.2,219.3667,2288.0667,1302.9
9 Nov 2021,2045.5625,328.8125,3621.25,2087.875
10 Nov 2021,664.0294,71.8235,1195.2647,678.8235
11 Nov 2021,1992.3889,290.1389,3558.3611,2003.8333
12 Nov 2021,1270.5455,198.6818,2194.4697,1323.6364
13 Nov 2021,66.25,16.1875,106.75,70.0625
14 Nov 2021,89.0952,17.6667,145.7143,93.8095
15 Nov 2021,1651,135.4231,2909.0769,1708.9231
16 Nov 2021,2545.5238,357.1905,4502.9524,2641.8571
17 Nov 2021,0,0,0,0
18 Nov 2021,0,0,0,0
19 Nov 2021,0,0,0,0
20 Nov 2021,888,85.5,1610.5,927.5
21 Nov 2021,1047.375,64.375,1738.625,1100.625
22 Nov 2021,1210.1981,153.6981,2192.6604,1232.7453
23 Nov 2021,2088.9167,195.9015,3890.0682,2102.1061
24 Nov 2021,1365.3056,170.5,2521.9722,1372.1806
25 Nov 2021,2252.3516,132.1648,4345.1868,2270.1099
26 Nov 2021,2371.4,242,4188.4,2415.2333
27 Nov 2021,191.0667,22.1333,324.7667,193.9
28 Nov 2021,515.9,52.25,910.5,545.7
29 Nov 2021,2206.4146,263.561,3898.3659,2226.6829
30 Nov 2021,2202.2154,275.2462,3893.7077,2255.8308
