category,Average Lost,Minimum Lost,Maximum Lost,Median Lost
1 Nov 2021,4.1846,0,29.2,5.3385
2 Nov 2021,3.7872,0.0851,20.8936,2.7872
3 Nov 2021,5.2381,0.1111,31.9206,7.3333
4 Nov 2021,5.6818,0,28.9091,4.7273
5 Nov 2021,4.3171,0.0732,23.9268,4.1707
6 Nov 2021,1.3654,0,10.6731,0.8846
7 Nov 2021,1.8333,0,15.8333,2.25
8 Nov 2021,2.931,0.069,15,4.931
9 Nov 2021,3.5625,0,17.625,4.625
10 Nov 2021,2.9706,0.0294,19.1765,1.3235
11 Nov 2021,2.8889,0.0278,19.7222,1.5
12 Nov 2021,2.8788,0.0758,17.1061,2.1515
13 Nov 2021,2.9063,0,16.6563,3.3125
14 Nov 2021,1.4286,0,13.1429,0.6667
15 Nov 2021,4.2917,0,19,5.1667
16 Nov 2021,5.5455,0.2727,29.6364,4.1364
17 Nov 2021,0,0,0,0
18 Nov 2021,0,0,0,0
19 Nov 2021,0,0,0,0
20 Nov 2021,4.5,0,26,1.5
21 Nov 2021,0,0,0.375,0
22 Nov 2021,2.3774,0.0283,14.9906,2.2547
23 Nov 2021,3.1429,0.0526,18.2331,3.5414
24 Nov 2021,2.6944,0.0972,15.5278,4.25
25 Nov 2021,2.9674,0.0326,17.3587,3.9022
26 Nov 2021,3.7097,0,23.3226,7.3871
27 Nov 2021,2.1667,0,15.7,1.6333
28 Nov 2021,1.65,0.05,14.85,1.35
29 Nov 2021,3.0244,0.0976,12.0244,3.6098
30 Nov 2021,1.2462,0,9.7077,1.2
