category,Average BytesSent,Minimum BytesSent,Maximum BytesSent,Median BytesSent
1 Nov 2021,7987229.2154,558608.8923,16773561.1692,8129206.5692
2 Nov 2021,4014995.2766,337534.3404,8605548.4681,4210345.1064
3 Nov 2021,6046321.6825,415642.9841,12623198.4762,6061237.3016
4 Nov 2021,9505655.4545,856500,18543027.0909,9813413
5 Nov 2021,10169185.561,1075786.6341,19335412.3415,10564190.3902
6 Nov 2021,4008255.75,223233.9231,9237781.5,3758237.7115
7 Nov 2021,4727565.375,289795.25,11073652,4480350.375
8 Nov 2021,6469609.4483,510978.931,13615806.8621,6567629.2069
9 Nov 2021,10763953,1084295.75,21031026.5,11265547.4375
10 Nov 2021,10923250.5294,697888.5294,22417713.1176,11127923.3824
11 Nov 2021,10600690.6389,1115617.2222,20837679,10868557.4444
12 Nov 2021,7903934.7424,794501.3333,15583244.3333,8215720.7879
13 Nov 2021,5258798.4063,328182.75,11241401.8125,5150710.6563
14 Nov 2021,3406171.4762,263759.4286,7224474,3398601
15 Nov 2021,6449416.4583,341655.5,13475786.6667,6536312.75
16 Nov 2021,7177591,397145.1818,14513542.6364,7609193.1818
17 Nov 2021,0,0,0,0
18 Nov 2021,0,0,0,0
19 Nov 2021,0,0,0,0
20 Nov 2021,2669046.5,409797,5498802,2688321
21 Nov 2021,4428055.875,224134.5,10580472.75,4256238.75
22 Nov 2021,5657721.6226,478829.0094,11551383.0094,5726036.2075
23 Nov 2021,7478743.391,442677.2932,15785970.9774,7557751.8947
24 Nov 2021,5844137.2639,370867.6667,12677971.4722,5815978.8611
25 Nov 2021,7147563.3587,445862.3804,15547816.837,7007395.75
26 Nov 2021,9448838.5484,585156.1613,19087242.2903,9906903.4516
27 Nov 2021,4197765.8,192814.1333,9447355.3333,4039028.9333
28 Nov 2021,4828081.7,224478.95,10457153.75,4734961.3
29 Nov 2021,9846518.9756,1051403.3415,19046172.2683,10414487.0732
30 Nov 2021,10031871.0769,983784.8462,20267674.0769,10222038.1846
