category,Average RTO,Minimum RTO,Maximum RTO,Median RTO
1 Nov 2021,251697.6615,224492.3077,315261.5385,252461.5385
2 Nov 2021,368921.5957,265106.383,566042.5532,360851.0638
3 Nov 2021,267236.8889,231746.0317,353269.8413,273174.6032
4 Nov 2021,246357.5455,215818.1818,347090.9091,228727.2727
5 Nov 2021,234945.122,211414.6341,328097.561,246390.2439
6 Nov 2021,294466.0962,238153.8462,382000,303846.1538
7 Nov 2021,292766.0833,248000,369166.6667,302166.6667
8 Nov 2021,411606.2759,237931.0345,749793.1034,519172.4138
9 Nov 2021,328478.2813,251250,492250,341625
10 Nov 2021,269280.5294,232117.6471,358117.6471,267588.2353
11 Nov 2021,283209.5,222777.7778,419333.3333,271444.4444
12 Nov 2021,270369.1061,224545.4545,359636.3636,271969.697
13 Nov 2021,293558.3125,240000,411625,275562.5
14 Nov 2021,323367.1905,252380.9524,444952.381,333523.8095
15 Nov 2021,445049.2917,251666.6667,787000,569000
16 Nov 2021,311153.5909,218545.4545,524000,328545.4545
17 Nov 2021,0,0,0,0
18 Nov 2021,0,0,0,0
19 Nov 2021,0,0,0,0
20 Nov 2021,481079,238000,714000,481000
21 Nov 2021,286898.375,237000,388000,311250
22 Nov 2021,329534.5377,247547.1698,462528.3019,338075.4717
23 Nov 2021,264321.1278,225263.1579,350556.391,263879.6992
24 Nov 2021,270883.75,226277.7778,375277.7778,267111.1111
25 Nov 2021,332714.75,241217.3913,519434.7826,354130.4348
26 Nov 2021,291524.4839,222709.6774,506580.6452,287483.871
27 Nov 2021,360799.4667,276533.3333,512666.6667,350000
28 Nov 2021,454796.55,355800,619800,451300
29 Nov 2021,301491.122,226439.0244,481560.9756,345268.2927
30 Nov 2021,259071.1231,218215.3846,397415.3846,244861.5385
