category,Average BytesRetrans,Minimum BytesRetrans,Maximum BytesRetrans,Median BytesRetrans
1 Nov 2021,95.3906,0,163.6719,88.5469
2 Nov 2021,1187,199.4222,2348.4667,1276.7333
3 Nov 2021,1194.4762,172.4127,2145.254,1287.5714
4 Nov 2021,944.6818,143.3636,1764.3636,895.9545
5 Nov 2021,2213.3659,295.3659,3987.4634,2379.1707
6 Nov 2021,104.7059,0,185.2549,119.1961
7 Nov 2021,64.8333,0,78.7917,66.25
8 Nov 2021,2135.6667,328.5333,3274.4,2343.6667
9 Nov 2021,1305.9063,115.9375,2389.5625,1528.125
10 Nov 2021,614.2353,15.8824,1173.5294,583.8235
11 Nov 2021,1595.8056,369.6667,2934,1681.5
12 Nov 2021,909.6212,47.7879,1732.0455,989.3182
13 Nov 2021,875.7813,201,1774.5,820.0313
14 Nov 2021,257.9048,0,432.9524,277.7619
15 Nov 2021,1831.4231,198.6923,3654.8846,1864.7308
16 Nov 2021,3266.7143,450.5714,6320.2857,3228.1905
17 Nov 2021,0,0,0,0
18 Nov 2021,0,0,0,0
19 Nov 2021,0,0,0,0
20 Nov 2021,16,0,21.5,21.5
21 Nov 2021,345.5,0,631.875,464.5
22 Nov 2021,776.9811,101.5094,1429.0377,740.6415
23 Nov 2021,1088.7348,166.8788,1979.8258,1104.2576
24 Nov 2021,1550.0417,197.1944,2966.8333,1556.3472
25 Nov 2021,1002.8132,95.3626,1770.8132,1058.0879
26 Nov 2021,856.2667,239.9333,1646.4333,947.8667
27 Nov 2021,235.4,0,316.7,300.9333
28 Nov 2021,211.8,67.35,419.95,170.8
29 Nov 2021,1124.7317,287.3659,2199.4146,1059.2927
30 Nov 2021,435.7231,10.8615,799.8308,502.8615
