category,Average RTO,Minimum RTO,Maximum RTO,Median RTO
1 Nov 2021,238457.9375,224687.5,267250,235500
2 Nov 2021,344831.0667,299911.1111,415822.2222,338755.5556
3 Nov 2021,260103.1111,231111.1111,338158.7302,258095.2381
4 Nov 2021,217118.7273,212000,245090.9091,216000
5 Nov 2021,308094.6341,210829.2683,528780.4878,322195.122
6 Nov 2021,247558.0784,229098.0392,277098.0392,247568.6275
7 Nov 2021,284631.0417,246000,311500,296250
8 Nov 2021,409127.3,260133.3333,660133.3333,386600
9 Nov 2021,274928.0625,241125,324500,271250
10 Nov 2021,289679.5588,232823.5294,470352.9412,256235.2941
11 Nov 2021,230295.1944,220222.2222,270777.7778,226722.2222
12 Nov 2021,239764.5,218909.0909,296424.2424,235939.3939
13 Nov 2021,280196.9063,235250,372750,280375
14 Nov 2021,276496.7619,239809.5238,344000,272190.4762
15 Nov 2021,374882.0385,298153.8462,494769.2308,374461.5385
16 Nov 2021,227084.1429,215238.0952,303428.5714,222190.4762
17 Nov 2021,0,0,0,0
18 Nov 2021,0,0,0,0
19 Nov 2021,0,0,0,0
20 Nov 2021,266993,240000,348000,265000
21 Nov 2021,433609.875,229500,709000,454000
22 Nov 2021,317504.5566,253094.3396,425584.9057,318358.4906
23 Nov 2021,258932.3864,220484.8485,321575.7576,269575.7576
24 Nov 2021,286923.7778,222277.7778,398222.2222,286333.3333
25 Nov 2021,325486,226021.978,516351.6484,323186.8132
26 Nov 2021,254242.7,215733.3333,333733.3333,260533.3333
27 Nov 2021,373612.9667,272666.6667,518000,374600
28 Nov 2021,364856.35,303200,461000,376000
29 Nov 2021,241952.8293,226731.7073,281170.7317,237268.2927
30 Nov 2021,223850.9077,214461.5385,245169.2308,224769.2308
