category,Average DsackDups,Minimum DsackDups,Maximum DsackDups,Median DsackDups
1 Nov 2021,0.75,0,1.1875,0.7656
2 Nov 2021,0.9111,0.0444,1.4667,1
3 Nov 2021,0.9524,0,1.5238,1.0476
4 Nov 2021,0.6364,0.0455,1.2273,0.5909
5 Nov 2021,1.122,0,1.9024,1.122
6 Nov 2021,0.6078,0,1.0784,0.6275
7 Nov 2021,0.375,0,0.6667,0.375
8 Nov 2021,1.1,0.0667,2.0333,1.1667
9 Nov 2021,1.5313,0.0313,2.625,1.5625
10 Nov 2021,1.1471,0.0294,2.0882,1.1765
11 Nov 2021,0.5,0,1.1944,0.5
12 Nov 2021,1.303,0.0152,2.2121,1.4242
13 Nov 2021,1.6563,0.0313,3.375,1.6875
14 Nov 2021,1.1905,0,2.2381,1.3333
15 Nov 2021,0.9615,0.0385,1.7692,1.1154
16 Nov 2021,0.9524,0.0952,1.381,1
17 Nov 2021,0,0,0,0
18 Nov 2021,0,0,0,0
19 Nov 2021,0,0,0,0
20 Nov 2021,0.5,0,0.5,0.5
21 Nov 2021,0.5,0,1.125,0.5
22 Nov 2021,1.1415,0.0094,1.6321,1.1887
23 Nov 2021,1.5455,0.0152,2.4167,1.6364
24 Nov 2021,1.1806,0.0139,1.9861,1.25
25 Nov 2021,2.1538,0.044,3.2747,2.4615
26 Nov 2021,1.9,0.0667,2.8,1.8
27 Nov 2021,0.7667,0,1.0333,0.8
28 Nov 2021,0.85,0.1,1.3,0.9
29 Nov 2021,0.9756,0,1.8049,0.9756
30 Nov 2021,1.1231,0.0154,2.1538,1.1385
